"video","Incident window start frame","Incident Detection","Crash Severity","Ego-car involved","Label","Number of Bicyclists/Scooters","Number of animals involved","Number of pedestrians involved","Number of vehicles involved (excluding ego-car)","Caption Before Incident","Reason of Incident"
10,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car stops at a red traffic light before a crosswalk with oncoming traffic visible.","Ego-car stops because the traffic light is red, causing all vehicles to remain stationary at the intersection."
11,87,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"flying object hit the car",0,0,0,1,"Ego-car drives on a road with a yellow school bus on the left and a white car ahead.","A school bus stops and deploys its stop sign, causing an impact that shatters the ego-car's windshield and obscures visibility."
12,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car approaches an intersection where pedestrians cross and bicycles wait on the left.","Pedestrians enter the road ahead of oncoming traffic, disrupting the normal flow of vehicles."
13,289,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"vehicle drives into another vehicle",0,0,0,2,"Ego-car follows a white SUV in heavy traffic with trucks ahead on a multi-lane highway.","A black truck collides with a red truck ahead, causing cargo to spill onto the road."
14,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a multi-lane highway under an overpass with moderate traffic and multiple vehicles ahead.","No incident occurs; traffic flows steadily with no visible hazards or abnormal events."
15,453,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"vehicle drives into another vehicle",0,0,0,2,"Ego-car follows traffic on a multi-lane highway with illuminated streetlights and oncoming vehicle headlights.","A vehicle ahead applies brakes, causing red brake lights to illuminate and prompting the ego-car to brake."
16,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a rural road beside green trees under a clear blue sky.","No incident occurred; the scene shows a clear road with no visible hazards or anomalies."
17,35,1,"1. Ego-car collided but did not stop",1,"flying object hit the car",0,0,0,0,"Ego-car drives on a highway with a black car in the adjacent lane and vehicles ahead in multiple lanes.","A black car moves into the ego car's path and collides, shattering the windshield with debris."
18,171,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"many cars/pedestrians/cyclists collided",2,0,0,2,"Ego-car follows a tricycle and a yellow cart on a city road with buildings on both sides.","A tricycle on the left loses balance and falls onto the road, creating a hazard for the ego-car."
19,31,0,"0. No Crash",0,"vehicle drives into another vehicle",0,0,0,2,"Ego-car follows a dark SUV in the left lane at an intersection with green traffic lights.","A black sedan on the right turns left across the path and collides with another vehicle ahead."
20,545,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a city road with parked cars and oncoming traffic.","A red car enters the ego-car's path from the right lane."
21,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car approaches an intersection with a pedestrian crossing the road ahead.","A pedestrian crosses the road in front of the ego-car, requiring the ego-car to slow down to avoid collision."
22,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car follows a car through a wide intersection with green traffic lights.","No incident occurs; traffic flows smoothly through the intersection with green lights, indicating normal conditions."
23,81,0,"0. No Crash",0,"scooter on the road",1,0,1,1,"Ego-car follows a van at an intersection with pedestrians crossing and oncoming traffic.","A blue truck overturns on the left side of the intersection, spilling debris onto the road."
24,251,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"many cars/pedestrians/cyclists collided",1,0,1,2,"Ego-car follows a white van on a wet city road with multiple lanes and moderate traffic.","A motorcyclist with an umbrella loses balance on the wet road and falls near the right curb."
25,393,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car approaches an intersection with green traffic lights and multiple vehicles ahead.","A vehicle enters the ego-car's path from the left lane at the intersection."
26,311,0,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a city road with construction equipment visible on the right.","Construction lights on the right emit bright glare that obscures visibility ahead."
27,151,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"many cars/pedestrians/cyclists collided",1,0,0,2,"Ego-car follows a white SUV in the right lane near an intersection with traffic lights and motorcycles ahead.","A motorcycle crosses from the left and collides with the white SUV ahead of the ego-car, causing the rider to fall on the road."
28,61,0,"0. No Crash",0,"vehicle overtakes",1,0,0,1,"Ego-car follows a motorcycle on a city road with no oncoming traffic.","A vehicle cuts in from the left lane and nearly collides with the motorcycle."
29,111,0,"0. No Crash",0,"flying object hit the car",0,0,0,1,"Ego-car follows a truck on a multi-lane highway at night with other vehicles ahead.","Debris flies from the truck bed and crosses the ego-car's path, striking the windshield and shattering the glass."
30,141,0,"0. No Crash",0,"animal on the road",0,5,0,0,"Ego-car drives on a rural road with distant vehicles ahead and animals on the right.","Wild boars cross the road from the right, causing the ego-car to slow down."
31,95,0,"0. No Crash",0,"vehicle overtakes",0,0,0,0,"Ego-car approaches an intersection with green traffic lights and clear crosswalks.","Traffic lights turn red as ego-car proceeds through the intersection."
32,101,0,"0. No Crash",0,"animal on the road",0,1,0,0,"Ego-car drives on a dark rural road with clear lane markings and streetlights ahead.","A deer appears on the left roadside and moves into the road, creating a potential collision hazard."
33,41,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"Ego-car follows two vehicles on a wet city road with buildings in the background.","A vehicle in the left lane merges sharply ahead of the ego-car, creating a near-miss situation."
34,30,0,"0. No Crash",0,"pedestrian is crossing the street",0,0,1,0,"Ego-car drives on a residential street with parked vehicles and a child on the right sidewalk.","A child in a red shirt runs from the right sidewalk into the ego-car's path."
35,57,0,"0. No Crash",1,"animal on the road",0,1,0,0,"Ego-car drives on a multi-lane road at night with oncoming traffic and streetlights.","A deer runs onto the road from the right side, causing the ego-car to brake."
36,71,0,"0. No Crash",0,"bicycle on road",1,0,0,1,"Ego-car approaches a pedestrian crossing the road ahead on a city street with parked cars and oncoming traffic visible.","A pedestrian walks into the road and collides with the ego car."
37,341,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car approaches an intersection with green traffic lights and multiple vehicles, including a white truck, in adjacent lanes.","A white truck moves left across lanes and blocks the ego-car's path at the intersection."
38,105,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"Ego-car follows a brown truck in the left lane on a clear two-lane highway.","The brown truck ahead emits a large dust cloud that completely blocks the ego-car's view."
39,33,0,"0. No Crash",0,"scooter on the road",1,0,0,0,"Ego-car drives under an overpass with parked cars on the left and a motorcycle ahead.","A motorcycle falls near a parked SUV at the intersection, obstructing the ego-car's path."
40,99,0,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a highway with clear lanes and distant lights.","Dense fog ahead reduces visibility for the ego-car, forcing a hazard on the road."
41,65,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"many cars/pedestrians/cyclists collided",2,0,1,2,"Ego-car approaches crosswalk with a taxi ahead and a motorcycle in the intersection or oncoming path.","A motorcycle enters the intersection and collides with a turning taxi."
42,311,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"vehicle drives into another vehicle",0,0,0,2,"Ego-car follows a black car on a curved highway with green highway signs.","The black car drifts left across lane markings into the oncoming path and collides with a concrete barrier."
43,137,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"many cars/pedestrians/cyclists collided",2,0,0,3,"Ego-car follows a red car and two trucks on a wet multi-lane road.","A cyclist swerves into the path of the red car, causing the red car to collide with the cyclist."
44,151,0,"0. No Crash",0,"animal on the road",0,20,0,0,"Ego-car approaches a group of white geese crossing the road ahead in a tree-lined lane.","A flock of white geese crosses the road from left to right, blocking the ego car's path."
45,41,0,"0. No Crash",0,"bicycle on road",1,0,0,1,"Ego-car follows a truck in a tunnel with a cyclist on the right.","A cyclist moves left toward the ego-car's lane, creating a near-miss."
46,17,0,"0. No Crash",0,"animal on the road",0,1,0,0,"Ego-car drives on a tree-lined road with no visible traffic or pedestrians.","A small animal crosses the road ahead, prompting the ego-car to potentially alter its path."
47,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car stops at a red traffic light at an intersection with crosswalk and oncoming traffic.","All vehicles remain stationary because the traffic light is red, and no movement or hazard is observed."
48,21,1,"3. Ego-car collided with at-least one person or cyclist",1,"ego-car hits a crossing cyclist",1,0,0,0,"Ego-car approaches an intersection with red traffic lights; vehicles and a tricycle wait in the left lane.","A tricycle moves from the left lane into the ego-car's path, resulting in a collision."
49,97,0,"0. No Crash",0,"animal on the road",0,1,0,0,"Ego-car drives on a wet road with trees on both sides and no visible hazards ahead.","A moose runs from the right roadside across the ego-car's path, creating an immediate collision risk."
50,31,0,"0. No Crash",0,"scooter on the road",1,0,1,0,"Ego-car approaches an intersection with green traffic lights and pedestrians on the sidewalk.","A skateboarder falls near the curb, causing a skateboard to roll into the road ahead."
51,37,0,"0. No Crash",0,"pedestrian is crossing the street",0,0,1,0,"Ego-car approaches intersection with a pedestrian crossing ahead in the crosswalk.","A pedestrian steps onto the crosswalk directly in front of the ego-car, blocking its path."
52,51,-1,"0. No Crash",0,"unknown",1,0,0,3,"Ego-car follows a pickup truck at an intersection with green traffic lights.","The pickup truck moves left while a pedestrian crosses the street on the right."
53,21,0,"0. No Crash",0,"vehicle overtakes",0,0,0,2,"Ego-car follows two trucks on a highway with a white SUV merging from the right lane.","A white SUV merges from the right lane and positions itself too closely to the right truck, creating a hazardous proximity."
54,161,0,"0. No Crash",0,"bicycle on road",1,0,0,0,"Ego-car approaches an intersection with a cyclist stopped at the crosswalk on the left.","A cyclist enters the intersection without stopping and crosses in front of the ego-car, requiring the ego-car to brake."
55,131,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"many cars/pedestrians/cyclists collided",2,0,0,0,"Ego-car approaches an intersection with bicycles and vehicles waiting at a green traffic light.","A bicycle rider loses balance and falls onto the road, creating a hazard for surrounding traffic."
56,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a city street with power lines overhead, trees on the right, traffic lights, utility poles, and scattered clouds.","No incident or hazard is present; road conditions and traffic remain stable without any agent-induced change."
57,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a dark road with a stop sign ahead and oncoming traffic.","No incident occurs because the ego-car encounters no obstacles or anomalies while approaching the stop sign under normal oncoming traffic conditions."
58,147,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",0,0,0,2,"Ego-car follows a white car in the right lane on a multi-lane road at night with several vehicles ahead.","A large truck merges from the left lane into the ego-car's lane without sufficient space."
59,181,0,"0. No Crash",0,"animal on the road",0,4,0,0,"Ego-car approaches a rural road with animals on the pavement ahead.","Animals cross from the right to the left lane, causing the ego-car to slow."
60,91,0,"0. No Crash",0,"pedestrian is crossing the street",0,0,1,0,"Ego-car follows a car and a truck on a multi-lane road with a pedestrian on the left.","A pedestrian walks into the road from the left and causes the ego-car to swerve right to avoid collision."
61,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a multi-lane highway at night with streetlights and steady oncoming traffic.","No incident occurred because the road remains clear with consistent traffic flow and no visible hazards detected."
62,211,1,"3. Ego-car collided with at-least one person or cyclist",1,"ego-car hits a crossing cyclist",1,0,0,0,"Ego-car drives on a city road with parked cars on the right and traffic ahead.","A bicycle crosses from the right into the ego-car's path and collides with it."
63,311,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",0,1,0,2,"Ego-car approaches a crosswalk with a white car on the left and a pedestrian on the right.","A cow walks onto the road near the parked white car and collides with its front left, causing the white car to stop."
64,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a city road with parked cars on both sides and oncoming traffic ahead.","No incident occurs; traffic flows steadily with parked cars lining both sides and oncoming vehicles approaching."
65,221,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",1,0,0,2,"Ego-car follows traffic on a city road with vehicles ahead and parked cars.","A pedestrian crosses from the right and collides with a white car turning left."
66,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a city road with moderate traffic and red lights ahead.","Traffic ahead is halted by red lights, causing the ego-car and surrounding vehicles to stop in compliance with signal control."
67,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a residential street with parked vehicles and clear weather.","No incident or anomaly is observed; road conditions and traffic flow remain stable."
68,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car stops at an intersection with pedestrians crossing ahead and traffic lights present.","Pedestrians cross the intersection in the crosswalk, causing the ego-car to remain stopped until the crossing is complete."
69,539,0,"0. No Crash",0,"pedestrian is crossing the street",0,0,1,1,"Ego-car approaches an intersection with a pedestrian crossing from the right and a truck turning right.","A pedestrian steps into the crosswalk ahead and blocks the ego-car lane while a truck turns right."
70,183,0,"0. No Crash",0,"vehicle overtakes",0,0,2,1,"Ego-car follows a white sedan under an overpass with pedestrians on the right.","A white sedan abruptly swerves left into the ego-car's path, causing a near-miss."
71,121,0,"0. No Crash",0,"pedestrian is crossing the street",0,0,1,2,"Ego-car approaches a construction zone with traffic cones and barriers on the left, and an oncoming white car turning left.","A pedestrian pushes a pram straight into the road without looking, creating an unexpected obstacle that forces the ego-car to react."
72,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car follows a white car at a green-lit intersection with crosswalks.","A white car suddenly brakes hard ahead, causing the ego-car to nearly collide with it at the intersection."
73,111,0,"0. No Crash",0,"animal on the road",0,2,0,0,"Ego-car drives on a highway with two wild boars visible ahead in the right lane.","Two wild boars cross the right highway lane, creating a direct collision hazard for the ego-car."
74,31,1,"1. Ego-car collided but did not stop",1,"ego-car hit an animal",0,1,0,0,"Ego-car drives on a rural road with houses and parked vehicles on the left.","A large bird flies from the left and collides with the ego car."
75,42,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",0,0,0,2,"Ego-car drives on a highway with a red car in the right lane ahead and a red truck in the left lane.","A tire detaches from the red car in the right lane and rolls onto the highway, creating debris ahead of the ego-car."
76,149,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",0,0,0,2,"Ego-car follows a car and a truck on a wet multi-lane road.","The car ahead loses control on the wet road and collides with the truck."
77,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives through a well-lit city intersection with red traffic lights ahead.","No incident occurred; the ego-car encounters normal traffic signal conditions at a city intersection without anomalies."
78,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a highway with green trees and a clear blue sky.","No incident or hazard is present; the road remains clear and driving conditions are normal."
79,1,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",0,0,0,1,"Ego-car follows a white car on a multi-lane highway with clear weather.","A white car turns right, causing the ego-car to collide with a road barrier."
80,271,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"Ego-car drives on a multi-lane road with a red truck ahead and a white van behind in the right lane.","The red truck on the right moves left toward the ego-car's lane."
81,1,0,"0. No Crash",0,"animal on the road",0,1,0,0,"Ego-car approaches an intersection with a white van turning left across the crosswalk and oncoming vehicles.","A small animal is on the crosswalk, creating a hazard for the ego-car and other vehicles navigating the intersection."
82,46,0,"0. No Crash",0,"animal on the road",0,1,0,0,"Ego-car follows multiple vehicles on a multi-lane highway under clear skies.","A bird flies low across the highway and collides with the ego-car's windshield."
83,291,1,"1. Ego-car collided but did not stop",1,"ego-car loses control",0,0,0,1,"Ego-car follows a van at an intersection with green traffic lights.","Ego-car veers upward, causing the camera to tilt sharply and lose road view."
84,383,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",2,0,0,2,"Ego-car approaches an intersection with a white car and motorcycles ahead.","A white car turns right without yielding and collides with a motorcycle in the intersection."
85,375,0,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a city road with parked cars and oncoming traffic.","A white SUV pulls out from the left curb and blocks the ego-car's lane ahead, causing an immediate obstruction."
86,361,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car follows a silver car on a dark road with yellow lane markings and streetlights.","A car from the right lane merges left and causes the silver car ahead to brake."
87,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a multi-lane road with light traffic and clear skies.","No incident occurred; traffic flows normally with no visible hazards or anomalies affecting the ego-car."
88,189,0,"0. No Crash",0,"vehicle drives into another vehicle",0,0,0,1,"Ego-car follows a tractor carrying a hay bale on a rural road.","The tractor's hay bale shifts and falls onto the road surface, creating a hazard for the ego-car."
89,51,0,"0. No Crash",0,"vehicle overtakes",0,0,0,2,"Ego-car drives on a multi-lane highway with trucks ahead in the same lane.","A truck ahead changes lanes to the left, creating a gap in the ego-car's lane."
90,235,0,"0. No Crash",0,"vehicle overtakes",0,0,0,2,"Ego-car drives on a city road with a UPS truck parked on the right and oncoming traffic present.","An NYPD van crosses the double yellow line and turns left into oncoming traffic, blocking the lane."
91,221,1,"3. Ego-car collided with at-least one person or cyclist",1,"ego-car hits a crossing cyclist",1,0,0,1,"Ego-car drives on a city road past parked red scooters and motorcycles on the right roadside.","A red scooter on the right roadside turns left across the ego-car's path and collides with it."
92,147,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"many cars/pedestrians/cyclists collided",1,0,0,2,"Ego-car follows a bus and a car on a city road with shops on the right.","A motorcycle falls on the right side of the road ahead, creating a hazard for following vehicles."
93,254,1,"1. Ego-car collided but did not stop",1,"ego-car hits barrier",0,0,0,0,"Ego-car drives on a foggy road with trees lining the right side.","A large animal darts from the right trees across the road and causes the ego-car to perform evasive steering."
94,51,0,"0. No Crash",0,"pedestrian is crossing the street",0,0,1,0,"Ego-car drives on a wet city road with buses and cars ahead and pedestrians on the sidewalk.","A pedestrian crosses the road from the right and steps directly into the ego-car's lane without using a crosswalk."
95,61,0,"0. No Crash",0,"animal on the road",0,1,0,0,"Ego-car approaches a crosswalk with a white car parked on the right side.","A bird crosses the road on the crosswalk, requiring the ego-car to slow down."
96,267,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"Ego-car drives on a highway with multiple lanes and moderate traffic ahead.","A vehicle from the left lane cuts in sharply ahead, causing the ego-car to brake abruptly."
97,153,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives under an overpass with construction barriers and a van ahead.","A van stops abruptly in the right lane near construction debris, causing the ego-car to swerve left."
98,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car approaches a narrow bridge with an oncoming motorcycle ahead.","An oncoming motorcycle passes safely on the narrow bridge, creating no conflict or obstruction for the ego-car."
99,93,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",1,0,0,2,"Ego-car follows a white SUV at an intersection with multiple vehicles ahead and to the right.","A white sedan merges left from the right lane and blocks the ego-car's path, prompting an evasive maneuver."
100,71,0,"0. No Crash",0,"animal on the road",0,1,0,0,"Ego-car approaches a crosswalk with a dog standing near the sidewalk on the right.","A dog crosses the crosswalk from right to left in front of the ego car, creating a hazard for traffic."
101,223,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"vehicle drives into another vehicle",0,0,0,2,"Ego-car follows a large truck on a multi-lane road with oncoming traffic.","An oncoming car cuts in front of the truck, causing a collision that affects the ego-car's path."
102,31,0,"0. No Crash",0,"animal on the road",0,1,0,0,"Ego-car drives on a dark highway with clear lanes ahead.","A deer stands in the highway lane and blocks the ego car's path."
103,1,0,"0. No Crash",0,"pedestrian is crossing the street",0,0,1,0,"Ego-car approaches an intersection with a red traffic light and a pedestrian waiting to cross.","Ego-car runs the red light while a pedestrian waits to cross the road."
104,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car follows a black vehicle at an intersection with traffic lights, a yellow taxi nearby, and multiple other vehicles under an overpass.","Traffic proceeds normally through the intersection without any incident or anomaly affecting the ego-car."
105,51,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"vehicle drives into another vehicle",0,0,0,2,"Ego-car follows a red truck on a multi-lane highway with a black car in the right lane.","A black car merges from the right lane into the ego-car's lane too closely in front of the red truck, causing a collision with the truck."
106,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a multi-lane highway with several vehicles and a white truck ahead.","No incident observed; traffic flows normally without anomalies or disruptions."
107,11,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"Ego-car follows a white sedan in the right lane on a multi-lane highway at night with other vehicles nearby.","A silver car merges from the left lane and moves in front of the ego-car."
108,171,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",0,0,0,2,"Ego-car stops at intersection with a white truck and a blue truck ahead.","A white truck collides with a blue truck, causing cargo to spill onto the crosswalk."
109,170,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"scooter on the road",1,0,2,0,"Ego-car approaches an intersection with pedestrians crossing and a motorcycle approaching the crosswalk on the right.","A motorcycle rider loses control and falls onto the crosswalk while turning right, causing a pedestrian to fall."
110,271,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"Ego-car drives on a highway beside a large green truck with green barriers on the left.","The green truck moves left into the ego-car's lane, causing a near-miss collision."
111,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car approaches an intersection with a pedestrian on the right sidewalk and a red traffic light.","Pedestrian crosses the street safely during the red light for the ego-car, with no collision or hazard occurring."
112,81,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",0,0,0,2,"Ego-car follows a white SUV in heavy urban traffic with multiple lanes and a yellow taxi on the left.","A white pickup truck merges from the right lane and forces the white SUV to brake hard, causing a collision with a truck ahead."
113,131,0,"0. No Crash",0,"flying object hit the car",0,0,0,1,"Ego-car drives on a multi-lane road with vehicles ahead and a white van on the left.","A tire detaches from the white van on the left and rolls into the ego-car's lane."
114,51,0,"0. No Crash",0,"animal on the road",0,1,0,0,"Ego-car approaches an intersection with green traffic light and pedestrians on the sidewalk.","A dog runs into the road from the left sidewalk and crosses ahead of the ego-car, causing a near-miss."
115,111,1,"1. Ego-car collided but did not stop",1,"flying object hit the car",0,0,0,0,"Ego-car drives under an overpass with construction cones and plastic debris visible on the road ahead.","A large plastic sheet blows across the road and strikes the ego-car's windshield, causing immediate obstruction of visibility."
116,91,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"many cars/pedestrians/cyclists collided",2,0,0,0,"Ego-car approaches an intersection with bicycles and motorcycles moving through a green traffic light.","A bicycle falls on the road at the intersection, creating a hazard that blocks the lane ahead near the crosswalk."
117,31,0,"0. No Crash",0,"flying object hit the car",0,0,0,0,"Ego-car drives on a multi-lane road with a red truck ahead and no visible hazards.","Debris falls onto the road from an unknown source, creating a hazard for the ego-car."
118,1,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"Ego-car drives on a multi-lane road with trucks ahead and a white car on the right lane.","A white car on the right lane suddenly moves left across lanes without signaling and blocks the ego-car's path."
119,101,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"Ego-car follows a silver sedan in the right lane on a wet city road with multiple vehicles in heavy traffic.","A yellow taxi changes lane from the left to the right ahead and blocks the path of the ego-car, prompting the silver sedan to brake."
120,171,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"Ego-car drives on a highway with a silver car in the left lane ahead.","A silver car in the left lane merges too close to the ego-car, forcing it to brake hard without contact."
121,89,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives through a narrow curved road between stone walls.","A van appears from the left at the intersection and causes the ego-car to stop."
122,259,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"car flipped over",0,0,0,1,"Ego-car approaches a red truck driving ahead on a two-lane road.","The red truck loses control and tips over onto its side across the lane, blocking the road."
123,371,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"vehicle drives into another vehicle",0,0,0,2,"Ego-car follows a dark sedan at an intersection with multiple vehicles stopped in adjacent lanes.","A white SUV moves left across lanes and encroaches into the ego-car's path."
124,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car follows a blue car on a city road with parked cars and light traffic.","No anomaly or incident observed; the ego-car maintains normal following distance under consistent traffic conditions."
125,231,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car observes a white truck and a container truck near a parked container in an industrial area, with a motorcycle present.","The white truck reverses slowly and collides with the container truck."
126,151,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"vehicle drives into another vehicle",0,0,0,2,"Ego-car approaches an intersection with a van turning left and motorcycles ahead.","A red truck enters the intersection from the right and collides with the ego-car."
127,305,0,"0. No Crash",0,"ego-car loses control",0,0,0,0,"Ego-car drives on a snowy rural road with clear visibility.","Ego-car loses traction on an icy road surface and slides left, drifting toward oncoming traffic."
128,196,1,"3. Ego-car collided with at-least one person or cyclist",1,"ego-car hits a crossing cyclist",1,0,0,0,"Ego-car approaches an intersection with a cyclist in the crosswalk ahead and oncoming traffic visible.","A cyclist crosses into the ego-car's path and collides with the front of the ego-car."
129,91,0,"0. No Crash",0,"scooter on the road",1,0,2,3,"Ego-car drives on a city road with multiple lanes, moderate traffic, and a child on the sidewalk.","A child on a scooter enters the road from the right sidewalk and crosses the ego-car's path."
130,347,0,"0. No Crash",0,"animal on the road",0,1,2,0,"Ego-car approaches an intersection with a pedestrian standing in the crosswalk.","A pedestrian falls into the ego-car's path and blocks the road ahead, prompting a person to rush over to assist."
131,171,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"Ego-car approaches an intersection with a green traffic light and oncoming vehicles.","Traffic light turns yellow then red as an oncoming vehicle continues through the intersection."
