"video","Incident window start frame","Incident Detection","Crash Severity","Ego-car involved","Label","Number of Bicyclists/Scooters","Number of animals involved","Number of pedestrians involved","Number of vehicles involved (excluding ego-car)","Caption Before Incident","Reason of Incident"
10,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car stops at a red traffic light before a crosswalk with oncoming traffic visible.","No incident detected; traffic light is red and intersection is clear."
11,91,1,"1. Ego-car collided but did not stop",1,"flying object hit the car",0,0,0,0,"The ego-car follows a white car near a yellow school bus on the left.","The windshield suddenly shatters from an impact ahead, blocking the view."
12,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car approaches an intersection where pedestrians cross and bicycles wait on the left.","No incident occurs; traffic flows normally with pedestrians crossing and cars moving ahead."
13,301,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",0,0,0,2,"The ego-car follows a white car in the right lane on a multi-lane highway with trucks ahead.","A dark truck ahead swerves left, collides with a red truck, and spills debris on the road."
14,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car follows a white SUV and a loaded pickup truck on a multi-lane highway under an overpass.","No incident occurs; traffic flows steadily with no visible hazards or abnormal events."
15,431,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"The ego-car follows a white car in the right lane on a wet highway with oncoming traffic.","A black SUV merges from the right and forces the ego-car to brake hard."
16,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car drives on a road beside green trees under a clear blue sky.","No incident detected; the scene shows a clear road with no visible hazards or anomalies."
17,36,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"flying object hit the car",0,0,0,1,"The ego-car follows two cars in the left lane on a highway with a black car nearby.","A large debris piece suddenly appears on the windshield and shatters the glass."
18,171,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"many cars/pedestrians/cyclists collided",2,0,0,2,"The ego-car follows a yellow cart on a wet city street with buildings left and right.","A tricycle on the left loses balance and its rider falls onto the wet road ahead."
19,31,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"vehicle drives into another vehicle",0,0,0,2,"The ego-car follows a dark SUV in the left lane at an intersection with green traffic lights.","A black sedan on the right turns left across the path causing a collision with another vehicle ahead."
20,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car drives on a residential street with parked cars and oncoming traffic.","No visible incident or anomaly across the frames; normal driving conditions."
21,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car approaches an intersection with a pedestrian crossing the road ahead.","No collision or anomaly observed; pedestrian safely crosses without incident."
22,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car follows a gray car through a wide intersection with traffic lights.","No incident occurs; traffic flows smoothly through the intersection with green lights."
23,81,0,"0. No Crash",0,"scooter on the road",1,0,1,2,"The ego-car follows a white van at an intersection with oncoming traffic and a pedestrian crossing.","A blue truck overturns on the left side of the intersection, spilling debris onto the road."
24,251,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"many cars/pedestrians/cyclists collided",1,0,1,2,"The ego-car follows a white van in the right lane on a wet city street with multiple cars ahead.","A motorcyclist with an umbrella loses balance and falls on the wet road near the curb."
25,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car follows a white car in the right lane approaching a green-light intersection.","No visible incident or anomaly in the sequence; traffic proceeds normally."
26,311,0,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car drives on a wet road past a blue building and trees.","A bright light from construction equipment on the right dazzles the camera view."
27,161,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",1,0,0,2,"The ego-car follows a white SUV in the right lane near an intersection with traffic lights.","A motorcycle crosses from the left and collides with the white SUV ahead of the ego-car."
28,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car drives through a gated residential entrance with a white truck parked left.","No visible incident or anomaly across all frames; normal driving through a residential area."
29,131,0,"0. No Crash",0,"flying object hit the car",0,0,0,1,"The ego-car follows a white pickup truck in the left lane on a highway at night.","Debris flies from the pickup truck's bed and crosses the ego-car's path ahead."
30,151,0,"0. No Crash",0,"animal on the road",0,6,0,0,"The ego-car drives on a two-lane road with oncoming traffic visible ahead.","Wild boars cross the road from the right, forcing the ego-car to slow."
31,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car drives through an intersection with green traffic lights and a clear lane ahead.","No incident occurs; the ego-car continues driving normally through multiple intersections."
32,101,0,"0. No Crash",0,"animal on the road",0,1,0,0,"The ego-car drives on a two-lane road with trees and a sign on the right.","A deer appears on the left roadside ahead and moves into the road."
33,41,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"The ego-car follows two cars in the right lane on a wet city road.","A vehicle from the left lane merges sharply ahead causing a near-miss."
34,30,0,"0. No Crash",0,"pedestrian is crossing the street",0,0,1,0,"The ego-car drives past a silver truck parked on the right side of the street.","A child in a red shirt runs from the right sidewalk into the ego-car's lane."
35,61,0,"0. No Crash",0,"animal on the road",0,1,0,0,"The ego-car drives in the right lane on a wet road with oncoming traffic visible.","A deer crosses from the right side into the ego-car lane and causes braking."
36,71,1,"3. Ego-car collided with at-least one person or cyclist",1,"ego-car hits a pedestrian",0,0,1,0,"The ego-car approaches a pedestrian in a red coat crossing the street near parked cars.","A pedestrian crosses the road ahead and falls near the ego-car after moving left."
37,391,0,"0. No Crash",0,"vehicle overtakes",0,0,0,0,"The ego-car approaches an intersection with a white truck and multiple cars in adjacent lanes.","A white truck moves left across lanes and blocks the ego-car's path at the intersection."
38,111,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"The ego-car follows a brown truck in the left lane on a clear highway with two lanes.","The brown truck ahead emits a large dust cloud that blocks the ego-car's view completely."
39,21,0,"0. No Crash",0,"scooter on the road",1,0,0,0,"The ego-car drives under an overpass with parked cars on the left and a motorcycle ahead.","A motorcycle stops suddenly ahead near construction barriers and blocks the ego-car lane."
40,101,0,"0. No Crash",0,"fog",0,0,0,0,"The ego-car drives on a highway with a yellow lane marker and streetlights visible.","Dense fog ahead blocks the road and forces the ego-car to slow down."
41,71,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"many cars/pedestrians/cyclists collided",2,0,1,3,"The ego-car follows a blue taxi in the right lane near a crosswalk.","A motorcycle crosses the intersection from the left and collides with the taxi."
42,321,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"The ego-car follows a black car in the left lane under green highway signs.","The black car changes lane left ahead, blocking the ego-car's path."
43,201,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"many cars/pedestrians/cyclists collided",2,0,0,2,"The ego-car follows a red car and two trucks on a wet multi-lane road.","The red car suddenly swerves right and collides with a cyclist in its lane."
44,151,0,"0. No Crash",0,"animal on the road",0,15,0,0,"The ego-car approaches a group of white geese crossing the road ahead in a tree-lined lane.","A flock of white geese crosses the road from left to right, blocking the ego-car's path."
45,41,0,"0. No Crash",0,"bicycle on road",1,0,0,1,"The ego-car follows a red truck in a tunnel with a cyclist on the right.","The cyclist moves left across the lane and forces the ego-car to avoid."
46,31,0,"0. No Crash",0,"animal on the road",0,1,0,0,"The ego-car drives on a tree-lined road with green foliage on both sides.","An animal appears on the road ahead and the ego-car approaches it."
47,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car stops at a red traffic light at an intersection with oncoming traffic.","No visible incident or anomaly; traffic lights are red and vehicles are stopped."
48,31,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",1,0,0,2,"The ego-car approaches an intersection with red traffic lights and oncoming cars.","A motorcyclist with a cart crosses into the ego-car's lane from the left."
49,101,0,"0. No Crash",0,"animal on the road",0,1,0,0,"The ego-car drives on a wet road with two lanes and trees on both sides.","A moose runs from the right roadside across the wet road and escapes to the left."
50,31,0,"0. No Crash",0,"scooter on the road",1,0,2,0,"The ego-car approaches an intersection with green traffic lights and two cars ahead.","A skateboarder falls near the curb, leaving a skateboard in the road ahead."
51,111,1,"3. Ego-car collided with at-least one person or cyclist",1,"ego-car hits a pedestrian",0,0,1,0,"The ego-car approaches an intersection with a pedestrian near the crosswalk on the left.","A pedestrian steps onto the crosswalk directly ahead and blocks the ego-car lane."
52,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car follows a silver pickup truck in the right lane at an intersection with green traffic light.","No incident occurs; all vehicles proceed normally through the green light."
53,21,0,"0. No Crash",0,"vehicle overtakes",0,0,0,2,"The ego-car follows two large trucks in adjacent lanes on a highway with clear markings.","A white SUV merges from the right and positions itself too close to the right truck."
54,171,0,"0. No Crash",0,"bicycle on road",1,0,0,0,"The ego-car approaches an intersection with a cyclist stopped at the crosswalk.","The cyclist enters the road without stopping and forces the ego-car to brake."
55,131,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"many cars/pedestrians/cyclists collided",2,0,0,0,"The ego-car waits at a green traffic light with multiple bicycles and cars ahead.","A cyclist in white loses balance and falls sideways into the adjacent lane."
56,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car drives on a city street with power lines overhead and trees on the right.","No incident or hazard visible in any of the provided frames."
57,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car drives on a dark road with visible oncoming traffic and a stop sign ahead.","No visible anomaly or incident occurs in the sequence; road remains clear."
58,151,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",0,0,0,2,"The ego-car follows a white car in the right lane with multiple vehicles ahead on a city road.","A large truck from the left lane merges into the ego-car's lane without sufficient space."
59,181,0,"0. No Crash",0,"animal on the road",0,4,0,0,"The ego-car approaches a group of four animals on a two-lane road.","The animals cross from the right to the left lane, causing the ego-car to slow."
60,91,0,"0. No Crash",0,"pedestrian is crossing the street",0,0,1,0,"The ego-car follows a white car in the right lane on a city road with a pedestrian on the left.","The pedestrian steps into the lane and forces the ego-car to swerve right avoiding collision."
61,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car drives on a dark highway with multiple lanes and distant streetlights.","No visible incident or anomaly detected in the sequence; road remains clear."
62,211,1,"3. Ego-car collided with at-least one person or cyclist",1,"ego-car hits a crossing cyclist",1,0,0,0,"The ego-car drives on a city street with parked cars lining the right side.","A bicycle crosses from the right into the ego-car lane and causes a collision."
63,301,0,"0. No Crash",0,"animal on the road",0,1,0,0,"The ego-car approaches a crosswalk with a white car stopped on the left.","An animal on the left side of the road causes the white car to stop."
64,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car drives straight in the center lane with oncoming traffic visible ahead.","No incident occurs; traffic flows steadily with parked cars lining both sides."
65,221,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"many cars/pedestrians/cyclists collided",1,0,1,2,"The ego-car follows a silver van in the center lane with oncoming traffic on the left.","A pedestrian crosses from the right and collides with a white car turning left."
66,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car follows a black car in the left lane on a city street with wet road.","No visible incident or anomaly detected in the sequence; all vehicles proceed normally."
67,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car drives down a residential street with parked cars and a speed hump sign.","No visible incident or anomaly across all frames; normal driving on a residential street."
68,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car is stopped at an intersection while a pedestrian crosses ahead with an orange bag.","No incident or anomaly observed; pedestrian safely crosses the street ahead."
69,539,0,"0. No Crash",0,"pedestrian is crossing the street",0,0,1,0,"The ego-car approaches an intersection with a pedestrian crossing from the right.","A pedestrian steps into the crosswalk ahead and blocks the ego-car lane."
70,241,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",0,0,0,2,"The ego-car follows a white car in the right lane under an overpass with pedestrians nearby.","The white car ahead brakes suddenly and swerves left, blocking the ego-car's path."
71,121,0,"0. No Crash",0,"pedestrian on the road",0,0,1,0,"The ego-car approaches a white car near a construction zone with red barriers.","A pedestrian pushes a pram straight into the road without looking."
72,11,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"The ego-car follows a white car at a green-lit intersection with crosswalks.","The white car suddenly brakes hard ahead causing a near-miss at the intersection."
73,111,0,"0. No Crash",0,"animal on the road",0,2,0,0,"The ego-car drives on a highway with two wild boars visible ahead in the right lane.","Two wild boars cross the highway lane, causing the ego-car to approach the blocking animals."
74,31,1,"1. Ego-car collided but did not stop",1,"ego-car hit an animal",0,1,0,0,"The ego-car drives on a two-lane road with a white van parked left.","A large bird flies from the left and collides with the ego-car."
75,47,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",0,0,0,2,"The ego-car follows a red truck in the left lane with a red car on the right.","The red car's tire detaches and rolls into the lane causing debris ahead of ego-car."
76,151,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",0,0,0,2,"The ego-car follows a silver car behind a large truck on a wet road.","The silver car loses control on the wet road and collides with the truck ahead."
77,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car drives through a well-lit city intersection with red traffic lights ahead.","No incident detected; the sequence shows normal driving through a city intersection."
78,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car drives on a highway with green trees and a blue sky ahead.","No visible incident or hazard in the sequence; road remains clear throughout."
79,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car follows a white car on a multi-lane highway with clear weather.","No visible anomaly or incident occurs in the sequence; traffic flows normally."
80,271,0,"0. No Crash",0,"vehicle drives into another vehicle",0,0,0,2,"The ego-car drives in the right lane behind a white van with a red truck ahead.","The red truck on the right moves left toward the ego-car's lane ahead."
81,11,0,"0. No Crash",0,"animal on the road",0,1,0,0,"The ego-car approaches an intersection with a white van turning left across the crosswalk.","A small animal is on the crosswalk ahead, causing a potential hazard in the ego-car's path."
82,46,0,"0. No Crash",0,"animal on the road",0,1,0,0,"The ego-car follows several cars on a highway under a clear blue sky.","A bird flies low across the highway and collides with the ego-car windshield."
83,301,0,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car follows a white van in the right lane at an intersection with green traffic lights.","The ego-car suddenly swerves upward, causing the camera to tilt and lose road view."
84,401,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"many cars/pedestrians/cyclists collided",2,0,0,2,"The ego-car approaches an intersection with a white car and motorcycles ahead.","A white car turns left abruptly and collides with a motorcycle in the intersection."
85,375,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"The ego-car drives down a narrow street lined with parked cars on both sides.","A white SUV pulls out from the left curb and blocks the ego-car lane ahead."
86,361,0,"0. No Crash",0,"vehicle overtakes",0,0,0,2,"The ego-car follows a silver car on a dark road with yellow lane markings.","A car from the right side merges left and forces the silver car to brake."
87,592,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car drives on a curved road with oncoming traffic in the left lane.","No incident occurred; the road remains clear with normal traffic flow."
88,201,0,"0. No Crash",0,"vehicle drives into another vehicle",0,0,0,1,"The ego-car follows a blue tractor on a wet rural road with hay bales.","The tractor's hay bale shifts right and spills debris across the wet road lane."
89,61,0,"0. No Crash",0,"vehicle overtakes",0,0,0,0,"The ego-car follows a blue truck in the middle lane on a multi-lane highway.","The blue truck ahead changes lanes to the left, creating a gap in the ego-car's lane."
90,261,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"vehicle drives into another vehicle",0,0,0,2,"The ego-car follows a UPS truck on a city street with oncoming traffic.","An NYPD van crosses the double yellow line and turns left into oncoming traffic."
91,221,1,"3. Ego-car collided with at-least one person or cyclist",1,"ego-car hits a crossing cyclist",1,0,0,1,"The ego-car drives on a wet road past shops with a red scooter parked on the right.","The red scooter on the right suddenly turns left across the ego-car path causing a collision."
92,151,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"many cars/pedestrians/cyclists collided",1,0,0,2,"The ego-car follows a white van and a silver car on a city road with shops.","A motorcycle falls on the right side of the road ahead near parked vehicles."
93,264,0,"0. No Crash",0,"animal on the road",0,1,0,0,"The ego-car drives on a foggy road with trees lining the right side.","A large animal darts from the right trees across the road and causes evasive steering."
94,71,0,"0. No Crash",0,"pedestrian is crossing the street",0,0,1,0,"The ego-car drives on a wet road with buses and cars in oncoming traffic.","A pedestrian crosses the road from the right and steps directly into the ego-car lane."
95,61,0,"0. No Crash",0,"animal on the road",0,1,0,0,"The ego-car approaches a crosswalk with a white car parked on the right side.","A bird crosses the road on the crosswalk and forces the ego-car to slow down."
96,271,0,"0. No Crash",0,"vehicle overtakes",0,0,0,0,"The ego-car drives on a highway with oncoming traffic and a green road sign overhead.","A vehicle from the left lane cuts in sharply ahead causing a near-miss incident."
97,131,0,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car follows a blue truck under an overpass with construction barriers on the left.","A van blocks the right lane ahead near construction debris and forces a lane change."
98,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car approaches a narrow bridge with a 10t sign and oncoming motorcycle.","No incident occurs; the motorcycle safely passes on the narrow bridge ahead."
99,111,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",0,0,0,2,"The ego-car follows a white SUV at an intersection with multiple parked cars.","A white sedan merges left from the right lane and blocks the ego-car's path."
100,71,0,"0. No Crash",0,"animal on the road",0,1,0,0,"The ego-car approaches a crosswalk with a dog standing near the sidewalk on the right.","A dog crosses the crosswalk from right to left in front of the ego-car."
101,241,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"vehicle drives into another vehicle",0,0,0,2,"The ego-car follows a white truck on a multi-lane road with oncoming traffic.","An orange truck merges left without clearance and collides with the white truck's side."
102,51,0,"0. No Crash",0,"animal on the road",0,1,0,0,"The ego-car approaches a dark highway with a deer standing on the left lane.","A deer stands in the left lane and blocks the ego-car's path ahead."
103,1,0,"0. No Crash",0,"pedestrian is crossing the street",0,0,1,0,"The ego-car approaches an intersection with a red traffic light and a waiting pedestrian.","The ego-car runs the red light while a pedestrian crosses the road ahead."
104,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car follows a black car at an intersection with traffic lights and a yellow taxi nearby.","No visible incident or anomaly; traffic proceeds normally through the intersection."
105,51,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"vehicle drives into another vehicle",0,0,0,2,"The ego-car follows a red truck in the right lane on a multi-lane highway with clear markings.","A black car merges from the right and collides with the red truck ahead."
106,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car drives on a multi-lane highway with several cars and a white truck ahead.","No visible incident or anomaly occurs; traffic flows normally on the highway."
107,11,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"The ego-car follows a white car in the right lane on a multi-lane highway at night.","A silver car merges from the left lane and cuts in front of the ego-car."
108,200,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",0,0,0,2,"The ego-car approaches an intersection with a white truck turning left across the crosswalk.","The white truck's load shifts and spills bags onto the crosswalk during its turn."
109,170,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"many cars/pedestrians/cyclists collided",1,0,2,0,"The ego-car waits at an intersection with pedestrians crossing and a motorcycle approaching the crosswalk.","A motorcycle rider loses control and falls onto the crosswalk while turning right at the intersection."
110,271,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"vehicle drives into another vehicle",0,0,0,2,"The ego-car drives in the right lane on a highway beside a green truck.","The green truck moves left and blocks the ego-car's lane causing a collision."
111,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car approaches an intersection with a pedestrian on the right sidewalk.","No visible incident or hazard; pedestrian safely crosses the street without collision."
112,81,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"vehicle drives into another vehicle",0,0,0,2,"The ego-car follows a white SUV in the middle lane with a yellow taxi on the left.","A white pickup truck merges from the right and forces the white SUV to brake hard."
113,131,0,"0. No Crash",0,"debris on road",0,0,0,1,"The ego-car follows a white van towing an orange trailer on a multi-lane highway.","A tire detaches from the van and rolls into the ego-car's lane ahead."
114,51,0,"0. No Crash",0,"animal on the road",0,1,0,0,"The ego-car follows a red car on a wet road past shops with a green traffic light.","A dog runs into the road from the left sidewalk and is hit by the ego-car."
115,111,1,"1. Ego-car collided but did not stop",1,"flying object hit the car",0,0,0,0,"The ego-car drives under an overpass with orange cones lining the left lane.","A large white plastic sheet blows across the road and collides with the ego-car windshield."
116,101,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"many cars/pedestrians/cyclists collided",3,0,0,0,"The ego-car approaches an intersection with bicycles and motorcycles on a wet road.","A fallen bicycle and rider block the lane ahead near the crosswalk."
117,121,0,"0. No Crash",0,"pedestrian on the road",0,0,1,0,"The ego-car drives on a wet multi-lane highway with a red truck ahead.","A pedestrian in orange stands on the right shoulder near the ego-car's lane."
118,31,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",0,0,0,2,"The ego-car follows two trucks in the left lane with a white car on the right.","The white car suddenly merges left without signaling and blocks the ego-car's path."
119,141,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"The ego-car follows a silver sedan in the right lane on a wet city road.","A yellow taxi changes lane from left to right ahead and blocks the path."
120,221,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"The ego-car drives on a highway with a silver car in the left lane ahead.","The silver car merges left too close and forces the ego-car to brake hard without contact."
121,91,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"The ego-car exits a narrow curved passage between two stone walls onto an open road.","A van appears suddenly from the left at the intersection and forces the ego-car to stop."
122,261,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"car flipped over",0,0,0,1,"The ego-car approaches a red truck driving in the left lane on a wet road.","The red truck tilts and overturns to the left, blocking the lane with its cargo."
123,301,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",0,0,0,2,"The ego-car follows a black car in the center lane with oncoming white traffic on the left.","A white car from the left lane changes right and blocks the ego-car's path ahead."
124,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car follows a blue car on a city street with parked cars.","No visible incident or anomaly across all frames; normal driving conditions."
125,261,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"vehicle drives into another vehicle",0,0,0,2,"The white truck stops near a parked container truck with its headlights on.","The white truck collides with the container truck while reversing slowly."
126,151,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"vehicle drives into another vehicle",0,0,0,2,"The ego-car approaches a crosswalk where a white van turns left across the intersection.","A red truck enters the intersection from the right and collides with another vehicle ahead."
127,311,0,"0. No Crash",0,"ego-car loses control",0,0,0,0,"The ego-car drives on a snowy road with a clear blue sky and open landscape.","The ego-car loses traction on ice and slides left toward oncoming traffic."
128,196,1,"3. Ego-car collided with at-least one person or cyclist",1,"ego-car hits a crossing cyclist",1,0,0,0,"The ego-car approaches an intersection with a cyclist in the crosswalk ahead.","The cyclist crosses into the ego-car lane and collides with the front of the ego-car."
129,101,0,"0. No Crash",0,"scooter on the road",1,0,1,0,"The ego-car drives on a multi-lane road with vehicles ahead and a child on the sidewalk.","A child on a scooter enters the road from the right and crosses the ego-car's path."
130,351,1,"3. Ego-car collided with at-least one person or cyclist",1,"ego-car hits a pedestrian",0,0,2,0,"The ego-car approaches an intersection where a pedestrian stands in the crosswalk.","A person falls into the ego-car lane and blocks the road ahead."
131,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car stops at a red light while other cars move ahead.","No incident occurred; traffic lights cycle normally with vehicles moving safely."
132,200,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",1,0,0,2,"The ego-car approaches a cyclist and a white SUV parked near the sidewalk.","The cyclist crosses into the vehicle lane and collides with the white SUV ahead."
133,211,1,"1. Ego-car collided but did not stop",1,"ego-car loses control",0,0,0,0,"The ego-car drives on a dirt road beside a grassy hill with dry vegetation.","Debris flies into the air from the right side and strikes the ego-car."
134,148,1,"3. Ego-car collided with at-least one person or cyclist",1,"ego-car hits a pedestrian",0,0,2,0,"The ego-car approaches a crosswalk where two pedestrians walk away in blue jackets.","A pedestrian in blue suddenly turns and steps backward into the ego-car lane."
135,414,0,"0. No Crash",0,"scooter on the road",2,0,0,2,"The ego-car follows a single motorcycle on a two-lane rural road with open fields.","A motorcycle with three riders enters the right lane and overtakes the ego-car."
136,191,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"vehicle drives into another vehicle",0,0,0,2,"The ego-car drives in the right lane past oncoming traffic on a sunny highway.","A dark car from oncoming traffic crosses the median and blocks the ego-car lane."
137,211,0,"0. No Crash",0,"pedestrian on the road",0,0,1,0,"The ego-car approaches a man in a blue shirt sitting on a cart in the right lane.","The man on the cart loses balance and falls sideways into the lane as cars pass."
138,111,0,"0. No Crash",0,"unknown",0,0,0,1,"A black SUV drives through an intersection with green traffic lights and a fallen tree nearby.","The fallen tree blocks the intersection and forces the black SUV to stop abruptly."
139,241,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"car hits barrier",0,0,0,1,"The ego-car approaches a white car stopped in the right lane on a highway.","The white car blocks the right lane and collides with the guardrail on the left."
140,51,0,"0. No Crash",0,"bicycle on road",2,0,0,0,"The ego-car follows multiple bicycles on a two-lane road under an overpass.","A cyclist performs a wheelie ahead but no collision occurs with ego-car."
141,71,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"car hits barrier",0,0,0,1,"The ego-car approaches a black SUV stopped near a crosswalk in city traffic.","The black SUV reverses into a metal barrier and knocks it over with its rear."
142,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"The ego-car drives on a dark road with oncoming traffic and red traffic lights ahead.","No visible incident or hazard in the sequence of frames; road remains clear ahead."
