"video","Incident window start frame","Incident Detection","Crash Severity","Ego-car involved","Label","Number of Bicyclists/Scooters","Number of animals involved","Number of pedestrians involved","Number of vehicles involved (excluding ego-car)","Caption Before Incident","Reason of Incident"
12,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car approaches a roundabout with pedestrians crossing and bicycles waiting.","No incident observed; normal traffic flow with pedestrians and bicycles."
13,301,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"vehicle drives into another vehicle",0,0,0,2,"Ego-car follows a white SUV in heavy traffic with trucks ahead.","A truck cuts in and collides with another truck, causing debris."
14,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a highway with moderate traffic under an overpass.","No anomaly or incident visible in the provided frames."
15,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a multi-lane highway with heavy traffic at night.","No incident observed; traffic flows with no visible anomalies or collisions."
16,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car travels on a rural road with clear skies and trees ahead.","No incident observed in the provided frames."
17,36,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"flying object hit the car",0,0,0,1,"Ego-car drives on highway with black car ahead in same lane.","Black car ahead suddenly releases debris that flies into ego-car's windshield."
18,171,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"many cars/pedestrians/cyclists collided",2,0,0,2,"Ego-car follows a tricycle on a city road with buildings and pedestrians.","The tricycle on the left side overturns and falls on the road."
19,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car approaches intersection with multiple vehicles stopped at traffic light.","No incident observed; traffic remains stable across all frames."
20,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a residential road with parked cars and oncoming traffic.","No incident observed in the sequence; traffic flows normally."
21,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car approaches a roundabout with a pedestrian crossing the road ahead.","No incident observed; pedestrian safely crosses the road in front of ego-car."
22,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car follows a car through a wide intersection with green traffic lights.","No anomaly or incident observed in the provided frames."
23,81,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",1,0,1,2,"Ego-car follows a van at an intersection with crosswalk traffic.","A blue truck loses cargo, causing debris to spill across the intersection."
24,251,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"many cars/pedestrians/cyclists collided",1,0,1,2,"Ego-car follows a van on a wet city road with moderate traffic.","A pedestrian with an umbrella falls near the van on the right side."
25,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a city road with green traffic lights and multiple vehicles ahead.","No incident observed; traffic flows normally through the intersection."
26,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a city road with construction equipment on the right.","No incident observed in the provided frames."
27,161,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"many cars/pedestrians/cyclists collided",1,0,0,2,"Ego-car travels on a city road with vehicles and motorcycles ahead.","A motorcycle cuts in front of a car and falls on the road."
28,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives through a gated residential community at dusk with no visible hazards.","No incident observed; all frames show normal driving with no anomalies."
29,131,0,"0. No Crash",0,"flying object hit the car",0,0,0,1,"Ego-car follows a truck and van on a multi-lane road at night with clear lanes ahead.","Debris flies from the truck bed, strikes the ego-car windshield, and shatters glass."
30,141,0,"0. No Crash",0,"animal on the road",0,5,0,0,"Ego-car drives on a rural road with distant vehicles and animals on the right.","Wild boars cross the road from right to left, forcing the ego-car to slow."
31,101,0,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car approaches intersection with green traffic lights and clear crosswalk.","Traffic lights turn red as ego-car enters intersection causing potential conflict."
32,41,0,"0. No Crash",0,"animal on the road",0,1,0,0,"Ego-car drives on a dark road with streetlights and clear lanes.","A small animal crosses the road ahead, causing potential hazard."
33,41,0,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car follows two vehicles on a wet city road with buildings ahead.","Unknown hazard: sudden bright light and blurred obstruction on right side."
34,30,0,"0. No Crash",0,"pedestrian is crossing the street",0,0,1,0,"Ego-car drives on a residential street with parked vehicles and a child on the sidewalk.","A child runs into the road from the right sidewalk ahead of the ego-car."
35,61,0,"0. No Crash",0,"animal on the road",0,1,0,0,"Ego-car drives on a multi-lane road with oncoming traffic and streetlights.","A deer runs across the road from the right side."
36,71,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",0,0,1,2,"Ego-car approaches a pedestrian crossing the street ahead on a city road.","A pedestrian crosses the road and collides with a left-side vehicle."
37,341,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"vehicle drives into another vehicle",0,0,0,2,"Ego-car approaches intersection with multiple vehicles and green traffic lights.","A large truck moves left across lanes, cutting in front of ego-car."
38,111,0,"0. No Crash",0,"vehicle drives into another vehicle",0,0,0,1,"Ego-car follows a truck and a car on a clear two-lane road.","The truck ahead emits a large dust cloud, reducing visibility suddenly."
39,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives under an overpass on a city street with parked vehicles.","No anomaly or incident observed in the sequence."
40,101,0,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a highway with clear lanes and distant lights.","Sudden fog or smoke reduces visibility ahead on the road."
41,91,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"many cars/pedestrians/cyclists collided",2,0,1,3,"Ego-car approaches crosswalk with a taxi ahead and oncoming motorcycle.","Motorcycle enters intersection and collides with turning taxi."
42,321,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"car hits barrier",0,0,0,1,"Ego-car follows a black car on a curved highway with visible road signs.","Black car drifts left toward concrete barrier and collides with it."
43,211,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"many cars/pedestrians/cyclists collided",2,0,0,3,"Ego-car follows a red car and two trucks on a wet multi-lane road.","A cyclist cuts in front of the red car, causing it to swerve right."
44,151,0,"0. No Crash",0,"animal on the road",0,15,0,0,"Ego-car drives on a rural road with geese crossing ahead.","Geese cross the road, causing the ego-car to stop."
45,31,0,"0. No Crash",0,"bicycle on road",1,0,0,1,"Ego-car follows a truck in a tunnel with a cyclist on the right.","A cyclist swerves left from the tunnel wall toward the ego-car's lane."
46,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a tree-lined road with no visible traffic or pedestrians.","No incident or anomaly observed in the provided frames."
47,91,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car stops at red light with crosswalk and oncoming traffic visible.","No visible incident or hazard in the sequence; all vehicles remain stationary at red light."
48,21,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"many cars/pedestrians/cyclists collided",2,0,0,2,"Ego-car approaches intersection with red light; vehicles and a tricycle wait in lane.","A tricycle cuts in front of ego-car, causing sudden lane change and collision."
49,101,0,"0. No Crash",0,"animal on the road",0,1,0,0,"Ego-car drives on a wet rural road with no visible hazards ahead.","A moose runs onto the road from the right and crosses in front of the ego-car."
50,31,0,"0. No Crash",0,"scooter on the road",1,0,1,0,"Ego-car approaches intersection with green traffic light and two cars ahead.","A pedestrian falls on the sidewalk, causing a skateboard to roll into the road."
51,121,0,"0. No Crash",0,"ego-car hits a pedestrian",0,0,1,0,"Ego-car approaches intersection with pedestrian crossing ahead on crosswalk.","Pedestrian enters crosswalk directly in front of ego-car causing near-miss."
52,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car follows a pickup truck at a green-light intersection with heavy traffic.","No anomaly or incident observed in the provided frames."
53,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a highway with multiple trucks ahead in the same lane.","No incident observed; traffic flows normally with no anomalies visible."
54,161,0,"0. No Crash",0,"bicycle on road",1,0,0,0,"Ego-car approaches an intersection with a cyclist waiting on the left.","A cyclist enters the intersection without stopping and crosses in front of the ego-car."
55,131,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"many cars/pedestrians/cyclists collided",2,0,0,1,"Ego-car waits at green light with bicycles and vehicles at intersection.","A bicycle cuts in front of another bicycle and falls on wet road."
56,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car travels on a clear suburban road under blue sky.","No incident observed in the provided frames."
57,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a dark road with oncoming traffic and a stop sign.","No incident observed; normal driving through an intersection."
58,151,0,"0. No Crash",0,"vehicle drives into another vehicle",0,0,0,2,"Ego-car follows a white car on a multi-lane road at night with several vehicles ahead.","A large truck overtakes from the left lane, causing a near-miss situation."
59,181,0,"0. No Crash",0,"animal on the road",0,4,0,0,"Ego-car drives on a rural road with animals ahead on the pavement.","Animals cross the road causing potential collision hazard for the ego-car."
60,91,0,"0. No Crash",0,"pedestrian is crossing the street",0,0,1,0,"Ego-car follows a white car with a truck on the right lane.","A pedestrian walks into the road and causes the truck to swerve."
61,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a multi-lane road at night with clear lanes.","No incident observed; road remains clear across all frames."
62,211,1,"3. Ego-car collided with at-least one person or cyclist",1,"ego-car hits a crossing cyclist",1,0,0,0,"Ego-car drives on a city road with parked cars and oncoming traffic.","A bicycle crosses the road from the right and collides with the ego-car."
63,311,0,"0. No Crash",0,"animal on the road",0,1,1,1,"Ego-car approaches a crosswalk with a white car and pedestrian on the left.","A pedestrian leads an animal onto the road, causing the white car to stop."
64,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a city road with moderate traffic and parked vehicles.","No incident observed in the provided frames."
65,221,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"many cars/pedestrians/cyclists collided",1,0,0,2,"Ego-car follows traffic on a city road with vehicles ahead and parked cars.","A pedestrian darts into the road from the right and collides with a vehicle."
66,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a city road with moderate traffic and red lights ahead.","No anomaly or incident visible across all provided frames."
67,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a residential street with parked vehicles and clear weather.","No anomaly or incident visible across all frames."
68,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car waits at an intersection with a pedestrian crossing ahead.","No incident observed; pedestrian safely crosses the intersection."
69,539,0,"0. No Crash",0,"pedestrian is crossing the street",0,0,1,1,"Ego-car approaches intersection with pedestrian crossing road and truck turning right.","Pedestrian crosses road in front of ego-car while truck turns right."
70,261,0,"0. No Crash",0,"vehicle drives into another vehicle",0,0,1,1,"Ego-car follows a white sedan under an overpass with pedestrians on the right.","White sedan changes lanes abruptly without collision on the road."
71,131,0,"0. No Crash",0,"pedestrian is crossing the street",0,0,1,0,"Ego-car approaches intersection with traffic cones and oncoming white car turning left.","A pedestrian pushes a pram straight into the road without looking."
72,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car follows a white sedan at a green-lit intersection with crosswalks.","No incident observed; traffic proceeds normally through the intersection."
73,111,0,"0. No Crash",0,"animal on the road",0,2,0,0,"Ego-car travels on a highway with two wild boars ahead in the lane.","Wild boars cross the highway lane, causing potential collision with ego-car."
74,41,0,"0. No Crash",1,"flying object hit the car",0,1,0,0,"Ego-car drives on a rural road with houses and trees visible.","A bird flies directly toward the ego-car and impacts the vehicle."
75,47,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",0,0,0,2,"Ego-car drives on a multi-lane highway with a red car ahead.","A red car collides with a tire on the highway causing debris."
76,151,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"vehicle drives into another vehicle",0,0,0,2,"Ego-car follows a car and a truck on a wet multi-lane road.","The car ahead loses control on wet road and collides with the truck."
77,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a city road with streetlights and distant traffic lights.","No anomaly or incident visible in the provided frames."
78,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car travels on a highway with clear skies and greenery.","No incident observed; normal driving conditions throughout the sequence."
79,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a highway with light traffic ahead.","No incident observed in the provided frames."
80,251,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a multi-lane road with a red truck on the right.","No incident observed in the video frames."
81,11,0,"0. No Crash",0,"animal on the road",0,1,0,0,"Ego-car approaches an intersection with oncoming vans and a blue car parked right.","A small animal is visible on the crosswalk in the road."
82,46,0,"0. No Crash",0,"animal on the road",0,1,0,0,"Ego-car drives on a highway with multiple lanes and steady traffic ahead.","A bird flies low across the highway directly in front of the ego-car."
83,291,0,"0. No Crash",1,"ego-car loses control",0,0,0,0,"Ego-car follows a van at an intersection with green traffic lights.","Ego-car suddenly swerves, causing the camera to tilt sharply upward."
84,421,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",2,0,0,2,"White car drives through intersection with motorcycles on the left.","White car turns right and collides with motorcycle in its path."
85,375,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",0,0,0,2,"Ego-car drives on a city road with parked cars and moderate traffic.","A white SUV turns left across oncoming traffic and collides with another vehicle."
86,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car follows a vehicle ahead on a dark residential road with streetlights.","No incident observed; traffic proceeds normally through the sequence."
87,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a multi-lane road with light traffic ahead.","No incident observed in the provided frames."
88,201,0,"0. No Crash",0,"unknown",0,0,0,1,"Ego-car follows a tractor carrying a large hay bale on a rural road.","The tractor's hay bale shifts and spills debris across the road."
89,51,0,"0. No Crash",0,"vehicle drives into another vehicle",0,0,0,2,"Ego-car drives on a highway with multiple trucks ahead in the same lane.","A truck ahead suddenly changes lane, causing a near-miss with another truck."
90,261,0,"0. No Crash",0,"vehicle drives into another vehicle",0,0,0,2,"Ego-car drives on a city road with a UPS truck parked right.","An NYPD van turns left across oncoming traffic and blocks the lane."
91,221,1,"3. Ego-car collided with at-least one person or cyclist",1,"ego-car hits a crossing cyclist",1,0,0,1,"Ego-car drives past a red three-wheeled vehicle parked on the right.","A red three-wheeled vehicle suddenly turns left into the ego-car's path."
92,151,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"many cars/pedestrians/cyclists collided",1,0,0,2,"Ego-car follows a bus and a car on a city road with shops right.","A motorcycle falls on the right side of the road ahead."
93,254,0,"0. No Crash",0,"animal on the road",0,0,0,1,"Ego-car drives on a foggy road with low visibility ahead.","An animal appears on the road causing a near-miss hazard for ego-car."
94,101,0,"0. No Crash",0,"pedestrian is crossing the street",0,0,1,0,"Ego-car drives on a city road with buses and cars in adjacent lanes.","A pedestrian crosses the road outside the crosswalk into the ego-car's lane."
95,71,0,"0. No Crash",0,"animal on the road",0,1,0,0,"Ego-car approaches a crosswalk with no visible hazards ahead.","A bird enters the crosswalk ahead, causing potential hazard."
96,271,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"Ego-car drives on a highway with multiple lanes and moderate traffic ahead.","A vehicle cuts in sharply from the left lane, causing sudden braking by ego-car."
97,131,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives under an overpass with construction barriers and a van ahead.","No incident observed; road is clear with construction zones only."
98,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car approaches a narrow bridge with oncoming motorcycle ahead.","No incident observed; motorcycle safely passes on narrow bridge."
99,111,0,"0. No Crash",0,"vehicle drives into another vehicle",0,0,0,2,"Ego-car observes white sedan and SUV at a busy intersection with moderate traffic.","White sedan cuts in front of ego-car, causing abrupt lane change and near-collision."
100,71,0,"0. No Crash",0,"animal on the road",0,1,0,0,"Ego-car approaches intersection with crosswalk and visible pedestrian sign.","A dog crosses the road at the crosswalk in front of the ego-car."
101,261,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",1,0,0,2,"Ego-car follows a large truck on a multi-lane road with moderate traffic.","A truck cuts in from the left, colliding with a concrete barrier."
102,51,0,"0. No Crash",0,"animal on the road",0,1,0,0,"Ego-car drives on a dark highway with clear lanes ahead.","A deer stands in the highway lane, blocking the ego-car's path."
103,1,0,"0. No Crash",1,"pedestrian is crossing the street",0,0,1,0,"Ego-car approaches an intersection with a pedestrian waiting to cross on the right.","Ego-car runs a red light while a pedestrian waits to cross the road."
104,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives under an overpass with multiple vehicles at an intersection.","No incident observed; traffic moves normally through the intersection."
105,51,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",0,0,0,2,"Ego-car follows a red truck on a multi-lane highway with clear lanes ahead.","A black car cuts in front of the ego-car too closely, causing a near-collision."
106,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a highway with multiple lanes and moderate traffic ahead.","No incident observed; traffic flows normally across all frames."
107,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car follows a white sedan on a multi-lane highway at night with other vehicles nearby.","No incident observed; traffic flows normally with no visible hazards or anomalies."
108,200,0,"0. No Crash",0,"scooter on the road",0,0,0,2,"Ego-car approaches intersection with truck and oncoming car at crosswalk.","Truck stops on crosswalk, causing blue cart to tip over with debris spilling."
109,170,0,"0. No Crash",0,"many cars/pedestrians/cyclists collided",1,0,0,0,"Motorcycle rider travels through intersection with green traffic light.","Motorcycle rider loses balance and falls near crosswalk."
110,271,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"Ego-car drives on highway beside a large green truck with steady traffic ahead.","The ego-car drifts left toward guardrail while truck remains in adjacent lane."
111,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car approaches intersection with pedestrian waiting at crosswalk and traffic light red.","No incident observed; pedestrian crosses safely during red light for ego-car."
112,81,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"vehicle drives into another vehicle",0,0,0,2,"Ego-car drives in heavy urban traffic with multiple cars ahead and alongside.","A white SUV cuts left across lanes, forcing a truck to swerve and causing a collision."
113,131,0,"0. No Crash",0,"vehicle drives into another vehicle",0,0,0,1,"Ego-car drives on a multi-lane road with several cars ahead and a white van on the left.","A tire detaches from the white van and rolls into the ego-car's lane."
114,51,0,"0. No Crash",0,"animal on the road",0,1,0,0,"Ego-car approaches intersection with green traffic light and pedestrians on sidewalk.","A dog runs into the road from the sidewalk causing near-miss."
115,131,1,"1. Ego-car collided but did not stop",1,"flying object hit the car",0,0,0,0,"Ego-car drives under an overpass with construction cones on the left.","Debris from a vehicle ahead flies toward ego-car, causing airbag deployment."
116,101,0,"0. No Crash",0,"bicycle on road",2,0,0,0,"Bicycles and motorcycles move through an intersection with green traffic light.","A bicycle falls on the road at the intersection causing a hazard."
117,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a multi-lane road with a truck ahead and no visible hazards.","No incident observed in the provided frames; road remains clear and traffic flows normally."
118,1,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"vehicle drives into another vehicle",0,0,0,2,"Ego-car drives on a multi-lane road with trucks ahead and a white car on the right.","The white car on the right suddenly moves left toward the ego-car's lane."
119,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a city road with multiple lanes of heavy traffic.","No incident observed; traffic flows normally with no visible anomalies."
120,171,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"Ego-car drives on a highway with multiple lanes and light traffic ahead.","A silver car cuts in from the left lane, merging too close to the ego-car."
121,91,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives through a narrow curved road between stone walls.","No incident detected; normal driving through a curved road."
122,261,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"car flipped over",0,0,0,1,"Ego-car approaches a red truck driving ahead on a two-lane road.","The red truck loses control and tips over onto its side across the lane."
123,371,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"Ego-car stops at an intersection with multiple vehicles in adjacent lanes.","A white SUV cuts left across lanes, encroaching on ego-car's path."
124,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car follows a blue vehicle on a city road with parked cars.","No anomaly or incident observed in the sequence."
125,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Trucks and a motorcycle are stationary in a loading area.","No incident observed; all vehicles remain stationary throughout frames."
126,151,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"vehicle drives into another vehicle",0,0,0,2,"Ego-car approaches an intersection with a van turning left and motorcycles ahead.","A red truck cuts in from the right and collides with the ego-car."
127,311,0,"0. No Crash",0,"ego-car loses control",0,0,0,0,"Ego-car drives on a snowy rural road with clear visibility.","Ego-car loses traction on icy road surface causing skid."
128,206,1,"3. Ego-car collided with at-least one person or cyclist",1,"ego-car hits a crossing cyclist",1,0,0,2,"Ego-car approaches an intersection with bicycles and vehicles moving normally.","A cyclist crosses the intersection and collides with the ego-car on wet road."
129,91,0,"0. No Crash",0,"scooter on the road",1,0,1,0,"Ego-car drives on a city road with multiple vehicles ahead and a child on the sidewalk.","A child on a scooter enters the road from the sidewalk into oncoming traffic."
130,351,1,"3. Ego-car collided with at-least one person or cyclist",1,"ego-car hits a pedestrian",0,0,2,0,"A pedestrian stands in the middle of a residential intersection ahead of the ego-car.","A pedestrian suddenly drops to the road, causing a person to rush from the ego-car to assist."
131,171,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"Ego-car approaches intersection with green traffic light and oncoming vehicles.","Traffic light turns yellow then red; oncoming car continues through intersection."
132,200,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"many cars/pedestrians/cyclists collided",2,0,0,2,"Ego-car drives on a city road with a cyclist ahead and a motorcycle approaching from behind.","A motorcycle overtakes the cyclist and collides with the cyclist on the right side of the road."
133,211,1,"1. Ego-car collided but did not stop",1,"flying object hit the car",0,0,0,0,"Ego-car drives on a dirt road with dry grass on the right.","Debris flies into the air from the right side of the road."
134,148,1,"3. Ego-car collided with at-least one person or cyclist",1,"ego-car hits a pedestrian",0,0,2,0,"Ego-car approaches crosswalk with two pedestrians walking ahead.","A pedestrian suddenly turns and collides with the ego-car."
135,414,0,"0. No Crash",0,"vehicle overtakes",2,0,0,2,"Ego-car follows a motorcycle on a rural road with clear lanes.","A motorcycle with three riders enters from the right and merges into the lane."
136,191,0,"0. No Crash",0,"vehicle drives into another vehicle",0,0,0,2,"Ego-car drives on a multi-lane road with light traffic and clear skies.","A dark vehicle suddenly crosses into the ego-car's lane from the left."
137,211,0,"0. No Crash",0,"pedestrian on the road",0,0,1,0,"Ego-car approaches a man on a cart in the middle lane with vehicles around.","A man on a cart loses balance and falls into the lane as vehicles pass."
138,111,0,"0. No Crash",0,"unknown",0,0,0,1,"A black SUV drives through an intersection with green traffic lights.","A fallen tree blocks the road after the SUV passes through."
139,241,1,"6. One or Multiple vehicles collided but ego-car is fine",0,"car hits barrier",0,0,0,1,"Ego-car drives on a highway with a white sedan ahead in the same lane.","White sedan loses control and collides with the guardrail on the left side."
140,51,0,"0. No Crash",0,"bicycle on road",1,0,0,0,"Ego-car follows a group of cyclists on a two-lane road under an overpass.","A cyclist performs a wheelie, loses control, and falls into the lane."
141,71,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"car hits barrier",0,0,0,1,"Ego-car approaches a black SUV stopped near a crosswalk with pedestrians nearby.","The black SUV reverses into the ego-car's path near the crosswalk barrier."
142,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a dark road with distant traffic lights and oncoming vehicles.","No incident or anomaly visible in the provided frames."
143,141,0,"0. No Crash",0,"vehicle overtakes",0,0,0,0,"Ego-car follows traffic on a city road with parked cars and a bus ahead.","A vehicle cuts in from the left lane causing abrupt braking by ego-car."
144,71,0,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car follows a white SUV ahead on a rural road with a parked truck on the right.","A sudden dust cloud erupts from the roadside, obscuring the road and vision."
145,181,1,"4. Other cars collided with person/car/object but ego-car is ok",0,"vehicle drives into another vehicle",1,0,0,2,"Ego-car follows a truck on a city road with parked cars right.","Truck turns right and collides with motorcycle on the side."
146,261,0,"0. No Crash",0,"animal on the road",0,2,0,0,"Ego-car approaches an intersection with oncoming traffic and snowbanks.","Two dogs run across the road into traffic lanes from both sides."
147,43,0,"0. No Crash",0,"animal on the road",0,0,0,0,"Ego-car drives on a highway with multiple vehicles in adjacent lanes.","Debris spills onto the highway lane from a vehicle ahead."
148,191,0,"0. No Crash",0,"pedestrian is crossing the street",0,0,1,0,"Ego-car follows a silver sedan under an overpass with green traffic lights ahead.","A pedestrian crosses the intersection against red light causing near-miss with vehicles."
149,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car drives on a clear city road with light traffic and buildings.","No anomaly or incident observed in the provided frames."
150,201,0,"0. No Crash",0,"vehicle overtakes",0,0,0,1,"Ego-car follows a vehicle in a right-turn lane at an intersection with green traffic light.","A vehicle cuts in from the left lane into the right-turn lane ahead of ego-car."
151,1,-1,"0. No Crash",0,"unknown",0,0,0,0,"Ego-car stops at an intersection with a large truck ahead.","No incident observed; traffic remains stable across all frames."
152,211,1,"2. Ego-car collided and could not continue moving",1,"ego-car loses control",0,0,0,0,"Ego-car approaches a right-turn road sign on a rural road.","Ego-car veers off the road into dense vegetation."
153,91,0,"0. No Crash",0,"flying object hit the car",0,0,1,1,"Ego-car drives on a snowy city road with moderate traffic.","A loose tire rolls into the ego-car's lane from oncoming traffic."
