video,Incident window start frame,Incident Detection,Crash Severity,Ego-car involved,Label,Number of Bicyclists/Scooters,Number of animals involved,Number of pedestrians involved,Number of vehicles involved (excluding ego-car),Caption Before Incident,Reason of Incident
36,73,0,0. No Crash,0,bicycle on road,1,0,0,1,Ego-car approaches a pedestrian walking in the road ahead.,A pedestrian walks into the road and a cyclist narrowly avoids collision.
37,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car approaches an intersection with multiple vehicles and green traffic lights.,No incident observed; normal traffic flow at an intersection.
38,105,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car follows a truck on a two-lane road with clear visibility.,"Truck emits large dust cloud, reducing visibility and causing near-miss."
39,73,0,0. No Crash,0,scooter on the road,1,0,0,0,Ego-car drives under an overpass with parked cars on the left.,A motorcycle falls near a parked SUV at the intersection.
40,99,0,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a highway with clear lanes and distant lights.,"Sudden dense fog reduces visibility ahead, causing a hazard."
41,65,1,4. Other cars collided with person/car/object but ego-car is ok,0,many cars/pedestrians/cyclists collided,2,0,1,2,Ego-car approaches intersection with crosswalk; taxi and motorcycle ahead.,Motorcycle crosses intersection; taxi turns right and cuts in.
42,311,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car follows a black car on a curved highway under clear skies.,Black car drifts left across lane markings into oncoming path.
43,185,1,4. Other cars collided with person/car/object but ego-car is ok,0,many cars/pedestrians/cyclists collided,2,0,0,3,Ego-car follows vehicles on a wet road with a red car ahead.,A cyclist collides with the rear of a blue truck in the same lane.
44,139,0,0. No Crash,0,animal on the road,0,20,0,0,Ego-car approaches a group of geese crossing the road ahead.,"A flock of geese crosses the road, obstructing the ego-car's path."
45,46,0,0. No Crash,0,bicycle on road,1,0,0,1,Ego-car follows a truck in a tunnel with a cyclist on the right.,Cyclist moves left toward the ego-car's lane causing a near-miss.
46,19,0,0. No Crash,0,animal on the road,0,1,0,0,Ego-car drives on a tree-lined residential road with clear lanes ahead.,"A small animal crosses the road ahead, causing potential evasive action."
47,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car stops at a red light at an intersection with crosswalk.,No incident observed; traffic remains stopped at red light.
48,73,1,3. Ego-car collided with at-least one person or cyclist,1,ego-car hits a crossing cyclist,1,0,0,0,Ego-car approaches intersection with red light; vehicles and a tricycle wait in left lane.,A tricycle cuts in front of ego-car and stops abruptly in the lane.
49,97,0,0. No Crash,0,animal on the road,0,1,0,0,Ego-car drives on a wet highway with no visible hazards ahead.,A moose runs from the right roadside across the wet highway.
50,33,0,0. No Crash,0,scooter on the road,1,0,1,0,Ego-car approaches intersection with green traffic lights and pedestrians on the right sidewalk.,"A pedestrian falls onto the sidewalk, leaving a skateboard in the road."
51,37,0,0. No Crash,0,pedestrian is crossing the street,0,0,1,0,Ego-car approaches intersection; pedestrian crosses road ahead in crosswalk.,Pedestrian enters crosswalk directly in front of ego-car causing near-miss.
52,156,-1,0. No Crash,0,unknown,1,0,0,3,Ego-car follows a pickup truck at an intersection with green traffic light.,No incident observed in the video frames; traffic proceeds normally.
53,21,0,0. No Crash,0,vehicle overtakes,0,0,0,2,Ego-car follows two trucks on a highway with clear lanes.,A white SUV merges right too closely to the ego-car.
54,89,0,0. No Crash,0,bicycle on road,1,0,0,0,"Bicyclist approaches intersection from left, ego-car is stationary.","Bicyclist enters intersection without stopping, ignoring oncoming traffic."
55,135,1,4. Other cars collided with person/car/object but ego-car is ok,0,many cars/pedestrians/cyclists collided,2,0,0,0,Ego-car approaches intersection with bicycles and motorcycles waiting at green light.,A bicycle rider falls over near the intersection crosswalk.
56,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a clear city road under scattered clouds.,No incident observed in the provided frames.
57,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives through a dark intersection with no visible traffic.,No incident observed; road remains clear throughout all frames.
58,147,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,0,0,0,2,Ego-car follows a white car on a multi-lane road with moderate traffic.,"A large truck cuts in from the left lane, forcing the ego-car to adjust."
59,169,0,0. No Crash,0,animal on the road,0,4,0,0,Ego-car approaches a road with animals crossing ahead.,Animals cross the road directly in the ego-car's path.
60,113,0,0. No Crash,0,pedestrian is crossing the street,0,0,1,0,Ego-car follows a van and a car on a multi-lane road with a pedestrian on the left.,"A pedestrian steps into the lane ahead, causing the ego-car to swerve right to avoid collision."
61,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a multi-lane road with oncoming traffic and streetlights.,No incident observed; road remains clear with steady traffic flow.
62,217,1,3. Ego-car collided with at-least one person or cyclist,1,ego-car hits a crossing cyclist,1,0,0,0,Ego-car drives on a city road with parked vehicles and moderate traffic ahead.,A bicycle crosses the road from the right and collides with the ego-car.
63,313,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,0,1,0,2,Ego-car approaches crosswalk with white car ahead and pedestrian on right.,A cow crosses the road and collides with the white car's front left.
64,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a city road with parked cars and oncoming traffic.,No anomaly or incident observed in the sequence.
65,191,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,1,0,0,2,Ego-car approaches intersection with moderate traffic and streetlights.,A motorcycle cuts in front of a white car causing collision.
66,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a city road with moderate traffic and streetlights.,No incident observed; traffic flows normally with no visible hazards.
67,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a residential road with parked vehicles and clear visibility.,No incident observed; road remains clear with steady traffic flow.
68,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car stops at intersection with pedestrian crossing left to right.,No incident observed; pedestrian safely crosses in crosswalk.
69,501,0,0. No Crash,0,pedestrian is crossing the street,0,0,1,1,Ego-car approaches intersection with pedestrian on crosswalk right side.,Pedestrian crosses into traffic lane as truck turns right.
70,255,0,0. No Crash,0,vehicle overtakes,0,0,2,1,Ego-car follows a white sedan under an overpass with two pedestrians on the right.,"White sedan suddenly swerves left and exits the lane, causing a near-miss."
71,137,0,0. No Crash,0,pedestrian is crossing the street,0,0,1,2,Ego-car drives past construction cones on a clear residential road.,A pedestrian pushes a pram straight into the road without looking.
72,7,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car follows a white car at a green-lit intersection with crosswalks.,No incident observed; traffic proceeds normally through green lights.
73,99,0,0. No Crash,0,animal on the road,0,2,0,0,Ego-car drives on a highway under an overhead sign with no hazards visible.,"Wild boars cross the highway ahead, causing a potential collision hazard."
74,31,1,1. Ego-car collided but did not stop,1,ego-car hit an animal,0,1,0,0,Ego-car drives on a rural road with houses and parked vehicles left.,A bird flies into the ego-car's windshield causing impact damage.
75,42,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,0,0,0,2,Ego-car drives on a highway with a red car ahead in the right lane.,A tire detaches from a vehicle and rolls into the highway lanes.
76,149,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,0,0,0,2,Ego-car follows a truck and a car on a wet road with moderate traffic.,A car loses control on a wet road and collides with a truck ahead.
77,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives through an intersection with red traffic lights ahead.,No anomaly visible in the provided frames; all scenes are stable.
78,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a highway with clear skies and greenery.,No incident observed in the provided frames.
79,231,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,0,0,0,1,Ego-car follows a white SUV in the same lane on a highway.,"White SUV swerves left, crosses lane lines, and collides with barrier."
80,256,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car drives on a multi-lane road with a red truck ahead right.,A white car on the left roadside suddenly moves onto the lane.
81,1,0,0. No Crash,0,animal on the road,0,1,0,0,Ego-car approaches intersection with vans and cars on cross street.,An animal is on the crosswalk causing a hazard for vehicles.
82,39,0,0. No Crash,0,animal on the road,0,1,0,0,Ego-car drives on a multi-lane highway with moderate traffic ahead.,A bird flies across the highway and is near the ego-car.
83,293,1,1. Ego-car collided but did not stop,1,ego-car loses control,0,0,0,1,Ego-car follows a silver van at an intersection with green traffic lights.,Ego-car collides with an object causing sudden upward camera tilt and loss of view.
84,425,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,2,0,0,2,Ego-car approaches an intersection with motorcycles and a white car ahead.,"A white car turns left into oncoming traffic, causing a collision."
85,379,0,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a city road with parked cars on both sides.,"An orange traffic cone appears ahead, indicating a potential road hazard or obstruction."
86,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car follows a vehicle on a dark road with streetlights and parked cars.,No incident observed; traffic flows normally through the sequence.
87,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a multi-lane road with light traffic and clear skies.,No anomaly or incident visible in the sequence.
88,189,0,0. No Crash,0,vehicle drives into another vehicle,0,0,0,1,Ego-car follows a tractor transporting a hay bale on a rural road.,The tractor's hay bale shifts and spills debris onto the road.
89,49,0,0. No Crash,0,vehicle overtakes,0,0,0,2,Ego-car drives on a multi-lane highway with trucks ahead in adjacent lanes.,"A blue truck changes lanes abruptly, forcing a bus to swerve."
90,235,0,0. No Crash,0,vehicle overtakes,0,0,0,2,Ego-car drives on a city road with a UPS truck parked right.,An NYPD van turns left across oncoming traffic and blocks the lane.
91,221,1,3. Ego-car collided with at-least one person or cyclist,1,ego-car hits a crossing cyclist,1,0,0,1,Ego-car drives past buildings and parked motorcycles on a city road.,A scooter crosses the road and collides with the ego-car.
92,147,1,4. Other cars collided with person/car/object but ego-car is ok,0,many cars/pedestrians/cyclists collided,1,0,0,2,Ego-car follows a white van and a silver car on a city road.,A motorcycle falls on the right side of the road ahead.
93,228,1,1. Ego-car collided but did not stop,1,ego-car hits barrier,0,0,0,0,Ego-car drives on a highway with a concrete barrier on the left.,"Ego-car veers left, collides with barrier, and spins toward trees."
94,69,0,0. No Crash,0,pedestrian is crossing the street,0,0,1,0,Ego-car drives on a wet city road with buses and cars ahead.,A pedestrian crosses the road ahead without using a crosswalk.
95,61,0,0. No Crash,0,animal on the road,0,1,0,0,Ego-car approaches crosswalk with no visible obstacles ahead.,A bird stands on the crosswalk in the ego-car's path.
96,267,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car follows a red car on a multi-lane highway at night with moderate traffic.,"A red car cuts in sharply from the left lane, forcing the ego-car to adjust."
97,101,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car follows a van and a car on a bridge with clear traffic.,No anomaly or incident visible in the provided frames.
98,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car approaches a narrow bridge with oncoming motorcycle ahead.,No incident observed; motorcycle safely passes on the bridge.
99,111,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,1,0,0,2,Ego-car is stationary at an intersection with multiple vehicles ahead and to the right.,A white sedan cuts in and collides with a cyclist while other cars are moving.
100,59,0,0. No Crash,0,animal on the road,0,1,0,0,Ego-car approaches intersection with dog standing near crosswalk on right.,A dog walks across the crosswalk in front of the ego-car.
101,235,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car follows a truck on a multi-lane road with other vehicles ahead.,A truck on the left loses control and collides with a central barrier.
102,39,0,0. No Crash,0,animal on the road,0,1,0,0,Ego-car drives on a dark highway with no visible traffic ahead.,"A deer stands in the highway lane, creating an obstacle for the ego-car."
103,1,0,0. No Crash,0,pedestrian is crossing the street,0,0,1,0,Ego-car approaches an intersection with a red traffic light and a pedestrian waiting to cross.,Ego-car drives through a red light while a pedestrian waits to cross.
104,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car follows traffic under an overpass with multiple vehicles ahead.,No anomaly or incident observed in the sequence.
105,103,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car drives on highway with black sedan on the right and red truck ahead.,Black sedan merges left too closely in front of red truck causing sudden brake.
106,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a highway with multiple vehicles ahead in clear weather.,No incident observed; traffic flows normally across all frames.
107,25,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car remains stationary as a silver car drives past on the left.,"A silver car cuts in from the left lane, causing a near-miss."
108,196,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,0,0,0,2,Ego-car stops at intersection with red light; white and blue trucks ahead.,"White truck collides with blue truck, causing cargo to spill onto crosswalk."
109,174,1,4. Other cars collided with person/car/object but ego-car is ok,0,scooter on the road,1,0,2,0,Pedestrians cross the intersection while motorcycles approach on the right.,A motorcycle loses control and falls on the right side of the crosswalk.
110,249,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car follows a large truck on a highway with green barriers on the left.,"The truck ahead suddenly moves left, cutting off the ego-car's path."
111,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car stops at an intersection with red traffic light and crosswalk.,No incident observed; pedestrian crosses legally during red light for ego-car.
112,77,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,0,0,0,2,Ego-car follows a white SUV in heavy city traffic with multiple lanes.,"A white SUV cuts left across lanes, colliding with a truck ahead."
113,139,0,0. No Crash,0,flying object hit the car,0,0,0,1,Ego-car drives on a multi-lane road with several cars ahead and a white van to the left.,A tire detaches from the white van and rolls into the ego-car's lane.
114,51,0,0. No Crash,0,animal on the road,0,1,0,0,Ego-car approaches an intersection with green traffic light and pedestrians on sidewalk.,A dog runs into the road from the sidewalk and crosses ahead of the ego-car.
115,131,1,1. Ego-car collided but did not stop,1,flying object hit the car,0,0,0,0,Ego-car approaches overpass with plastic debris in the left lane ahead.,Plastic debris in the lane causes sudden windshield obstruction and loss of visibility.
116,92,1,4. Other cars collided with person/car/object but ego-car is ok,0,many cars/pedestrians/cyclists collided,2,0,0,0,Ego-car approaches an intersection with bicycles and motorcycles moving through green light.,A bicycle falls at the intersection causing a rider to collapse on the road.
117,31,0,0. No Crash,0,flying object hit the car,0,0,0,0,Ego-car drives on a multi-lane road with a red truck ahead.,Debris on the road causes a hazard for the ego-car.
118,31,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car drives on a multi-lane road with a white car ahead and trucks in adjacent lanes.,"The white car suddenly swerves right and exits the frame, causing an abrupt lane change."
119,105,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car follows a silver sedan in heavy urban traffic on a wet road.,"A silver sedan cuts left abruptly, forcing a lane change by the ego-car."
120,231,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car drives on highway with silver car in left lane ahead.,Silver car changes lane in front of ego-car without collision.
121,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives through a narrow curved road with no visible traffic.,No incident observed in the provided frames; road remains clear.
122,261,1,4. Other cars collided with person/car/object but ego-car is ok,0,car flipped over,0,0,0,1,Ego-car approaches a red truck parked on the left roadside.,The truck's cargo shifts and falls onto the road causing instability.
123,373,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car waits at intersection with multiple cars ahead and pedestrians on the left.,"A white SUV cuts in from the left lane, forcing position adjustment."
124,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a city road with parked cars and light traffic.,No incident observed in the sequence; normal driving conditions persist.
125,1,-1,0. No Crash,0,unknown,0,0,0,0,Trucks and a motorcycle remain stationary in an industrial area.,No incident observed; vehicles and objects remain stationary throughout.
126,155,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car approaches intersection with a van turning left and motorcycles crossing.,A large truck cuts in from the right and collides with the ego-car.
127,309,0,0. No Crash,0,ego-car loses control,0,0,0,0,Ego-car drives on a snow-covered rural road with clear visibility.,Ego-car loses traction on icy road surface causing lateral skid.
128,168,1,3. Ego-car collided with at-least one person or cyclist,1,ego-car hits a crossing cyclist,1,0,0,0,Ego-car approaches an intersection with a cyclist ahead in the crosswalk.,A cyclist stops abruptly in front of the ego-car causing a collision.
129,99,0,0. No Crash,0,scooter on the road,1,0,2,3,Ego-car drives on a city road with multiple lanes and moderate traffic.,A child rides a scooter into the road from the right sidewalk.
130,350,0,0. No Crash,0,animal on the road,0,1,2,0,Ego-car approaches an intersection with a pedestrian standing ahead.,"A pedestrian and a dog enter the road, causing a near-miss with the ego-car."
131,171,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car approaches intersection with green traffic light and oncoming vehicles.,Traffic light turns yellow then red as oncoming vehicle proceeds.
132,200,1,4. Other cars collided with person/car/object but ego-car is ok,0,many cars/pedestrians/cyclists collided,2,0,1,2,Ego-car drives on a city road with a cyclist ahead on the right.,A cyclist collides with a pedestrian while riding on the right side of the road.
133,211,1,1. Ego-car collided but did not stop,1,flying object hit the car,0,0,0,0,Ego-car travels on a dirt path beside a grassy hill with clear sky.,Debris suddenly flies into air from unknown hazard near hillside.
134,154,1,3. Ego-car collided with at-least one person or cyclist,1,ego-car hits a pedestrian,0,0,1,0,Ego-car approaches two pedestrians crossing the road ahead in a crosswalk.,A pedestrian in blue vest runs into ego-car's lane causing collision.
135,410,0,0. No Crash,0,vehicle overtakes,2,0,0,2,Ego-car follows a motorcycle on a rural road as another motorcycle approaches from the right.,"A motorcycle with three riders merges into the lane ahead, creating a near-miss situation."
136,181,0,0. No Crash,0,animal on the road,0,0,0,0,Ego-car travels on a multi-lane road with oncoming traffic and roadside trees.,Debris on the road creates a visible hazard ahead of the ego-car.
137,253,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,0,0,1,2,Ego-car follows a man on a shopping cart in a tunnel with moderate traffic.,A man loses control of a shopping cart and collides with a car.
138,135,0,0. No Crash,0,animal on the road,0,0,0,1,A black SUV drives through a green light at an intersection with a leaning tree.,"A large tree falls across the road, snapping power lines and blocking the intersection."
139,229,1,4. Other cars collided with person/car/object but ego-car is ok,0,car hits barrier,0,0,0,1,Ego-car drives on a highway with a white sedan ahead in the same lane.,White sedan loses control and collides with the guardrail on the right side.
140,41,0,0. No Crash,0,bicycle on road,4,0,0,0,Ego-car approaches a bridge with a group of cyclists ahead in the lane.,"A cyclist performs a wheelie and loses control, causing a near-miss with other cyclists."
141,1,0,0. No Crash,0,unknown,0,0,0,1,Ego-car approaches a black SUV parked near a crosswalk with pedestrians nearby.,No visible incident; black SUV remains stationary at curb with no collision.
142,21,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car drives on a dark road with a car ahead on the right.,A car ahead turns left across the lane and merges into oncoming traffic.
143,97,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car follows a white SUV on a city road with parked cars.,A vehicle cuts in from the left lane causing abrupt braking by ego-car.
144,69,0,0. No Crash,0,unknown,0,0,0,0,Ego-car follows a white SUV ahead on a two-lane road with a parked truck on the right.,"A large dust cloud erupts from the roadside, obscuring the road and vision."
145,179,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,1,0,0,2,Ego-car follows a truck on a city road with parked cars and a motorcycle ahead.,The truck suddenly turns right and collides with the motorcycle on the road.
146,249,0,0. No Crash,0,animal on the road,0,2,0,0,Ego-car approaches an intersection with oncoming traffic and two dogs on the road.,"Two dogs cross the road amid oncoming traffic, causing potential hazard."
147,61,0,0. No Crash,0,animal on the road,0,0,0,0,Ego-car drives on a highway with multiple vehicles ahead in lanes.,Debris spills onto the highway lane from a vehicle ahead.
148,193,0,0. No Crash,0,pedestrian is crossing the street,0,0,0,2,Ego-car approaches intersection with green traffic light and crosswalk ahead.,A pedestrian crosses against red light as vehicles proceed through the intersection.
149,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a city road with light traffic and clear weather.,No incident observed in the sequence; road remains clear throughout.
150,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car follows a vehicle in a right-turn lane at an intersection with green traffic lights.,No incident observed; traffic flows normally through the intersection.
151,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car stops at an intersection with a red truck and other vehicles.,No anomaly or incident observed in the sequence.
152,202,1,2. Ego-car collided and could not continue moving,1,ego-car loses control,0,0,0,0,Ego-car approaches a blue right-turn sign on a rural road.,Ego-car veers off-road into dense vegetation without visible obstruction.
153,79,1,1. Ego-car collided but did not stop,1,flying object hit the car,0,0,1,2,Ego-car drives on a snowy city road with moderate traffic and pedestrians.,A loose tire rolls from oncoming traffic into ego-car's lane and collides with it.
154,61,0,0. No Crash,0,pedestrian is crossing the street,0,0,1,0,Ego-car approaches an intersection with a pedestrian waiting at the crosswalk.,A pedestrian crosses the road in front of the ego-car during traffic.
155,309,0,0. No Crash,0,animal on the road,0,6,0,0,Ego-car drives on an empty road with clear weather and visible power lines.,A duck and ducklings cross the road ahead of the ego-car.
156,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car follows a silver sedan on a multi-lane road at dusk with clear traffic.,No incident observed; traffic flows normally with no visible hazards.
