video,Incident window start frame,Incident Detection,Crash Severity,Ego-car involved,Label,Number of Bicyclists/Scooters,Number of animals involved,Number of pedestrians involved,Number of vehicles involved (excluding ego-car),Caption Before Incident,Reason of Incident
24,251,1,4. Other cars collided with person/car/object but ego-car is ok,0,many cars/pedestrians/cyclists collided,1,0,2,1,Ego-car follows a white van on a wet road with a motorcycle moving ahead on the right.,"A motorcycle stops abruptly, causing riders to fall onto the road."
25,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a night road with other vehicles ahead.,unknown hazard: no visible anomalies in frames
26,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a wet night road with buildings and a car ahead.,No visible incident or hazard.
27,161,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,1,0,0,2,"Ego-car drives on a city road with cars, motorcycles, and a traffic light showing red.",A motorcycle loses balance and collides with a white car.
28,71,0,0. No Crash,0,vehicle overtakes,1,0,0,1,Ego-car follows a motorcycle on a dimly lit road at night.,"A car approaches the motorcycle from the left, creating a near-miss hazard."
29,117,0,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a highway at night with a truck ahead in the same lane.,A truck ejects debris that becomes a road hazard.
30,61,0,0. No Crash,0,animal on the road,0,1,0,0,Ego-car drives on a rural road with a car ahead and no visible hazards.,"A large animal crosses the road, creating a hazard for oncoming traffic."
31,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a road with green traffic lights approaching an intersection.,unknown hazard: no visible anomaly or collision
32,1,-1,0. No Crash,0,unknown,0,0,0,0,"Ego-car drives on a two-lane road at night, flanked by trees, with no other vehicles or hazards visible.",unknown hazard: no visible anomalies or incidents in the sequence
33,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a wet road with other cars ahead and city buildings in the background.,unknown hazard: no visible anomalies or incidents in the frames
34,41,0,0. No Crash,0,pedestrian is crossing the street,0,0,1,0,Ego-car drives on a residential street with a truck on the right and a car ahead.,"A pedestrian runs into the road, creating a hazard."
35,71,0,0. No Crash,0,animal on the road,0,1,0,0,Ego-car drives on a nighttime road with streetlights and distant vehicles.,"A deer crosses the road in front of the ego-car, creating a hazard."
36,73,0,0. No Crash,0,bicycle on road,1,0,0,0,Ego-car drives on a city street with parked cars and a pedestrian in red.,"A bicycle approaches a stationary white car, creating a potential hazard."
37,1,-1,0. No Crash,0,unknown,0,0,0,0,"Ego-car approaches an intersection with red traffic lights, where multiple vehicles including a white truck and a white car are stopped.",No visible incident; traffic remains stopped at the red light.
38,121,0,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a road with a truck ahead and other vehicles in the distance.,A truck emits a large cloud of dust that obscures the road ahead.
39,1,-1,0. No Crash,0,unknown,0,0,0,0,"Ego-car drives on a city road with parked cars on both sides, an overpass on the left, and buildings on the right.",unknown hazard: no visible anomaly or incident in the sequence
40,61,0,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a highway at night with a car ahead in the left lane.,Unknown hazard: smoke appears on the road.
41,71,1,4. Other cars collided with person/car/object but ego-car is ok,0,many cars/pedestrians/cyclists collided,0,0,1,1,Ego-car drives on a city road with other vehicles ahead and on the right.,A motorcycle approaches the crosswalk and collides with a pedestrian.
42,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a highway with a red car ahead and other vehicles in the distance.,unknown hazard: no visible anomalies or incidents in the frames
43,1,1,4. Other cars collided with person/car/object but ego-car is ok,0,unknown,1,0,1,1,A child rides a bicycle on the roadside near a truck.,A child riding a bicycle on the roadside is run over by a vehicle.
44,1,0,0. No Crash,0,animal on the road,0,12,0,0,Ego-car drives on a road with geese ahead in the distance.,Geese cross the road and obstruct the ego-car's path.
45,41,0,0. No Crash,0,bicycle on road,1,0,0,0,Ego-car drives in a tunnel with a truck ahead on the road.,"A cyclist moves into the ego-car's lane, creating a hazard."
46,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a tree-lined road with no other vehicles or pedestrians visible.,No incident observed in the sequence of frames.
47,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car waits at a red traffic light at an intersection with crosswalk and street signs.,unknown hazard: no visible anomalies or incidents in the sequence
48,21,0,0. No Crash,0,unknown,0,0,0,1,Ego-car waits at a red light intersection with several vehicles ahead.,A tricycle proceeds through a red traffic light and moves into the intersection.
49,111,0,0. No Crash,0,animal on the road,0,1,0,0,"Ego-car drives on a wet, tree-lined road with no visible animals or hazards.",A moose crosses the road in front of the ego-car.
50,81,0,0. No Crash,0,scooter on the road,1,0,0,0,"Ego-car approaches an intersection with cars, pedestrians, and green traffic lights.","A skateboard enters the road, creating a hazard for vehicles."
51,41,0,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a city road with a black SUV on the left and other vehicles ahead.,A black SUV turns left and cuts in front of the ego-car.
52,1,-1,0. No Crash,0,unknown,0,0,0,0,"Ego-car approaches an intersection at night with green traffic light, vehicles ahead including a pickup truck and motorcycle.",unknown hazard: no visible anomaly in frames
53,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a highway with two trucks ahead in the same lane.,No visible incident or hazard in the frames.
54,51,0,0. No Crash,0,bicycle on road,1,0,0,0,Ego-car drives on a road with a car ahead and trees on both sides.,"A bicycle enters the road from the sidewalk, creating a hazard."
55,151,0,0. No Crash,0,bicycle on road,1,0,0,0,"Ego-car approaches an intersection under an overpass with multiple bicycles, vehicles, and a green traffic light.",A cyclist in a red jacket loses balance and falls onto the road.
56,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car approaches an intersection with traffic lights and road signs under a partly cloudy sky.,No visible incident or hazard in the sequence.
57,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a nighttime road approaching an intersection with a stop sign visible ahead.,unknown hazard: no visible anomalies or collisions in the sequence
58,141,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car drives on a night road with cars ahead and a car in the left lane.,"A truck on the left merges into the ego-car's lane, creating a hazard."
59,175,0,0. No Crash,0,animal on the road,0,4,0,0,Ego-car approaches a road with several animals on it.,Unknown hazard: small animals on the road.
60,51,0,0. No Crash,0,pedestrian on the road,0,0,1,0,Ego-car drives on a road with multiple vehicles including a truck and cars ahead.,"A pedestrian enters the road, creating a hazard for oncoming traffic."
61,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a highway at night with streetlights and distant traffic.,unknown hazard: no visible incident or hazard in frames
62,51,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car drives on a city road with parked cars on the right and oncoming traffic ahead.,A white car collides with a parked vehicle on the right side of the road.
63,21,0,0. No Crash,0,pedestrian on the road,0,0,1,0,Ego-car drives on a road with a red car ahead and a pedestrian on the left sidewalk.,Pedestrian enters road ahead of ego-car.
64,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a two-lane road with parked cars on both sides and oncoming traffic ahead.,unknown hazard: no visible anomalies or incidents in the sequence
65,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a city road at night with other vehicles ahead.,unknown hazard: no visible anomaly in frames
66,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car approaches an intersection at night with green traffic lights and other vehicles present.,No visible incident occurred during the sequence.
67,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a residential street with parked vehicles and houses.,unknown hazard: no visible anomaly or incident in the frames
68,1,-1,0. No Crash,0,unknown,0,0,0,0,"Ego-car approaches an intersection with green traffic lights, pedestrians on the sidewalk, and vehicles ahead.",unknown hazard: no visible anomalies or incidents in the sequence
69,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a city road with a blue car ahead and parked vehicles on the right.,unknown hazard: no visible anomaly or incident in the frames
70,251,0,0. No Crash,0,vehicle overtakes,0,0,0,0,Ego-car follows a white car on a road under an overpass with pedestrians on the right.,"A white car merges left into the ego-car's lane, creating a hazard."
71,131,0,0. No Crash,0,pedestrian on the road,0,0,1,0,Ego-car drives on a road with construction cones and other vehicles ahead.,"A pedestrian pushes a pram into the road without looking, creating a hazard."
72,111,0,0. No Crash,0,unknown,0,0,0,0,Ego-car approaches an intersection with a white car stopped on the left.,"A white car turns left across the ego-car's path, creating a hazard."
73,141,0,0. No Crash,0,animal on the road,0,2,0,0,Ego-car drives on a highway at night with two animals on the right shoulder.,"Two wild animals cross into the ego-car's lane, creating a collision hazard."
74,41,0,0. No Crash,0,animal on the road,0,1,0,0,Ego-car drives on a two-lane road with houses and parked vehicles on the left.,"A bird flies toward the ego-car, causing a near-collision."
75,31,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car drives on a highway with multiple vehicles ahead and a truck in the left lane.,A red car swerves to avoid debris on the road and collides with another vehicle.
76,151,1,4. Other cars collided with person/car/object but ego-car is ok,0,car hits barrier,0,0,0,1,"Ego-car drives on a wet road with a white car, truck, and red truck ahead.",A white car loses control and veers left into the curb.
77,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a nighttime road with streetlights and distant vehicle lights.,unknown hazard: no visible anomalies or incidents in the frames
78,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a road with trees on both sides under a clear blue sky.,unknown hazard: no visible anomalies or incidents in the frames
79,221,1,2. Ego-car collided and could not continue moving,1,ego-car hits barrier,0,0,0,0,Ego-car follows a white car on a multi-lane road with clear weather.,Ego-car collides with a road barrier after a white car turns right.
80,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a multi-lane road with a white van and red truck ahead.,unknown hazard: no visible anomalies or collisions in the frames.
81,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a city road with multiple vehicles including vans and cars in view.,unknown hazard: no visible anomalies or incidents in the sequence
82,25,0,0. No Crash,0,animal on the road,0,1,0,0,Ego-car drives on a highway with several cars ahead and an overpass overhead.,"A bird flies into the road, creating a hazard for the ego-car."
83,293,0,0. No Crash,0,ego-car loses control,0,0,0,0,Ego-car drives on a road with a van ahead and green traffic lights.,Unknown hazard: motion blur and camera shake in multiple frames.
84,1,0,0. No Crash,0,unknown,0,0,0,0,Ego-car approaches a white car on a narrow street with debris in the road.,Debris in the road poses a hazard to the ego-car.
85,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a narrow street with parked cars on both sides at night.,unknown hazard: no visible incident or anomaly in the sequence
86,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car follows a car on a dark road at night.,unknown hazard: no visible anomaly or incident in frames
87,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car waits at a red traffic light under an overpass with blue construction barriers nearby.,unknown hazard: no visible anomaly or incident in the frames
88,201,0,0. No Crash,0,unknown,0,0,0,0,Ego-car approaches a tractor carrying a hay bale on a rural road.,"The tractor's hay bale falls onto the road, creating a hazard."
89,101,0,0. No Crash,0,animal on the road,0,1,0,0,Ego-car drives on a highway with trucks ahead in clear weather.,unknown hazard: small object on the road
90,231,0,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a city road with a UPS truck on the right and parked cars on both sides.,"A van moves into the oncoming lane, creating a hazard."
91,91,1,4. Other cars collided with person/car/object but ego-car is ok,0,unknown,1,0,0,1,Ego-car drives on a city road with a car and motorcycle ahead.,A motorcycle loses control and crashes onto the sidewalk.
92,151,0,0. No Crash,0,scooter on the road,1,0,0,0,Ego-car drives on a road with a motorcycle near the right sidewalk and vehicles ahead.,"A motorcycle tips over and falls onto the road, creating a hazard."
93,201,1,2. Ego-car collided and could not continue moving,1,ego-car hits a vehicle,0,0,0,1,Ego-car drives on a road with a truck in the right lane.,A truck moves left into the ego-car's lane and collides with the ego-car.
94,69,0,0. No Crash,0,pedestrian is crossing the street,0,0,1,0,"Ego-car drives on a wet city road with buses, cars, and pedestrians on the sidewalk.",A pedestrian crosses the road in front of oncoming traffic.
95,51,0,0. No Crash,0,animal on the road,0,1,0,0,"Ego-car approaches an intersection with a crosswalk, surrounded by trees and parked cars.","A bird stands in the crosswalk, creating a potential collision hazard."
96,273,0,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a highway at night with multiple vehicles ahead and in adjacent lanes.,"A car merges from the left lane into the ego-car's lane, creating a collision hazard."
97,41,0,0. No Crash,0,unknown,0,0,0,0,Ego-car drives under an overpass with a blue vehicle and white van ahead.,"A blue vehicle stops abruptly, forcing the ego-car to brake."
98,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car approaches a bridge with a motorcycle ahead on a rural road.,unknown hazard: no visible anomaly in frames
99,111,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car drives on a road with a white SUV ahead and a white sedan on the right.,"A white sedan moves forward unexpectedly, causing a near-miss with the ego-car."
100,21,0,0. No Crash,0,animal on the road,0,1,0,0,Ego-car drives on a road with a white car ahead and no pedestrians or animals visible.,"A dog enters the crosswalk area, posing a hazard to traffic."
101,259,0,0. No Crash,0,scooter on the road,1,0,0,0,Ego-car drives on a road with trucks and cars ahead.,"A motorcycle rider enters the road from the right, creating a hazard."
102,41,0,0. No Crash,0,animal on the road,0,1,0,0,Ego-car drives on a dark road with no visible hazards.,"A large animal crosses the road, creating a collision hazard."
103,1,0,0. No Crash,0,pedestrian is crossing the street,0,0,1,0,Ego-car approaches an intersection with a green traffic light and a pedestrian waiting to cross.,Ego-car proceeds through a red light while a pedestrian waits to cross.
104,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car follows a black SUV on a city road with other vehicles and a yellow taxi at an intersection.,No visible incident or hazard in the provided frames.
105,51,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car drives on a highway with a red truck ahead and other vehicles in lanes.,A black car merges into the ego-car's lane from the right.
106,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a highway with multiple vehicles in adjacent lanes.,unknown hazard: no visible incident or anomaly in frames
107,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a highway at night with other vehicles ahead and to the left.,unknown hazard: no visible anomalies or incidents in the sequence
108,171,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car approaches an intersection with a blue truck and other vehicles stopped at a red light.,"A white truck collides with a blue truck, causing debris to spill onto the crosswalk."
109,121,1,0. No Crash,0,unknown,1,0,1,0,Ego-car approaches a crosswalk with pedestrians crossing and a scooter on the right side.,A scooter in the crosswalk causes a pedestrian to fall.
110,171,0,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a highway with a large truck on the right and other vehicles ahead.,"A truck merges left into the ego-car's lane, creating a near-miss hazard."
111,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a city road with cars in adjacent lanes and pedestrians on the right sidewalk.,No incident observed; scene remains stable with no visible hazards or collisions.
112,81,0,0. No Crash,0,vehicle overtakes,0,0,0,0,Ego-car drives on a city road with multiple vehicles ahead and a taxi on the left lane.,"A white van on the right merges into the ego-car's lane, creating a hazard."
113,81,1,4. Other cars collided with person/car/object but ego-car is ok,0,car hits barrier,0,0,0,1,Ego-car drives on a highway with a white car on the right and other vehicles ahead.,A white car on the right loses control and collides.
114,51,0,0. No Crash,0,animal on the road,0,1,0,0,"Ego-car approaches an intersection with green traffic lights, buildings on the left, and cars ahead on the road.","A small animal runs into the road, creating a hazard."
115,121,1,1. Ego-car collided but did not stop,1,flying object hit the car,0,0,0,0,Ego-car drives on a highway with traffic cones and other vehicles ahead.,A large white debris object enters the road and obstructs the ego-car's path.
116,91,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,2,0,1,2,"Ego-car approaches an intersection with green traffic lights, multiple motorcycles ahead, and pedestrians in the crosswalk.","Two motorcycles collide, causing one to fall to the ground."
117,61,0,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a multi-lane road with a red truck ahead and no visible hazards.,"Debris falls onto the road from an unknown source, creating a hazard."
118,13,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car drives on a road with a white car ahead in the right lane.,"A white car cuts into the ego-car's lane, causing a near-miss."
119,171,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a city road with multiple vehicles in traffic.,unknown hazard: no visible anomalies or collisions in the sequence
120,171,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car drives on a highway with vehicles ahead and trucks on the left.,"A car merges into the ego-car's lane from the left, creating a near-miss hazard."
121,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a narrow road with walls on both sides.,No incident observed.
122,261,1,6. One or Multiple vehicles collided but ego-car is fine,0,car flipped over,0,0,0,1,Ego-car drives on a road with a red truck ahead.,"The red truck loses control and overturns, blocking the road."
123,61,0,0. No Crash,0,vehicle overtakes,0,0,0,0,"Ego-car waits at intersection with red traffic light, cars ahead and oncoming traffic.",A black SUV merges into the ego-car's lane from the right.
124,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a residential street with parked cars and a blue car ahead.,unknown hazard: no visible anomalies or hazards in the frames.
125,231,0,0. No Crash,0,unknown,0,0,0,0,Ego-car observes two trucks and a motorcycle on a paved area near buildings.,"A white truck moves forward toward another truck, creating a collision hazard."
126,161,1,1. Ego-car collided but did not stop,1,flying object hit the car,0,0,0,1,"Ego-car is at an intersection with a van and motorcycles, with no immediate hazards.","A red truck approaches from the right, and debris detaches from the truck, flying into the air."
127,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a snowy road with a truck on the left.,unknown hazard: no visible incident or anomaly
128,125,0,0. No Crash,0,bicycle on road,1,0,0,0,"Ego-car drives on a wet road with a white car parked on the right, a bicycle rider ahead, and other vehicles.","A bicycle rider approaches the ego-car closely, creating a near-miss hazard."
129,111,0,0. No Crash,0,scooter on the road,1,0,1,0,Ego-car drives on a city road with cars in both lanes and a child on the sidewalk.,"A child rides a scooter into the road, creating a hazard for traffic."
130,191,1,1. Ego-car collided but did not stop,1,flying object hit the car,1,0,0,1,Ego-car follows a motorcycle on a residential street with houses on both sides.,"A motorcycle rider throws an object, loses control, and obstructs the camera."
131,1,-1,0. No Crash,0,unknown,0,0,0,0,"Ego-car waits at an intersection with a red traffic light, a black car in the left lane.",unknown hazard: no visible incident
132,191,1,4. Other cars collided with person/car/object but ego-car is ok,0,unknown,1,0,0,1,Ego-car drives on a city road with a white SUV and a cyclist riding nearby.,A cyclist collides with a white SUV while riding on the road.
133,21,0,0. No Crash,0,pedestrian on the road,0,0,1,0,Ego-car drives on a rural road with two cars ahead and a pedestrian on the right shoulder.,"A pedestrian steps onto the road, creating a hazard for traffic."
134,21,1,4. Other cars collided with person/car/object but ego-car is ok,0,unknown,0,0,1,1,Ego-car drives on a road with a white SUV on the left and pedestrians ahead.,"A white SUV approaches a skateboarder, causing the skateboarder to fall."
135,411,0,0. No Crash,0,scooter on the road,1,0,0,1,Ego-car follows a motorcycle on a rural road with fields and trees on both sides.,"A scooter carrying three passengers enters the scene, creating a hazard."
136,141,0,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a multi-lane road with light traffic and clear weather.,"A small debris object appears on the road ahead, creating a hazard."
137,101,0,0. No Crash,0,pedestrian on the road,0,0,1,0,Ego-car approaches a tunnel with vehicles in both lanes.,"A pedestrian rides a cart in the road, creating a traffic hazard."
138,91,0,0. No Crash,0,unknown,0,0,0,0,Ego-car approaches an intersection with a car ahead and green traffic lights.,"A fallen tree blocks the road, creating a hazard for approaching vehicles."
139,231,1,4. Other cars collided with person/car/object but ego-car is ok,0,car hits barrier,0,0,0,1,Ego-car drives on a highway with a white car ahead on the right lane.,"A white car collides with the guardrail, causing front-end damage."
140,51,0,0. No Crash,0,bicycle on road,1,0,0,0,Ego-car drives under a bridge with multiple cyclists riding ahead on the road.,"A cyclist performs a wheelie, losing control and creating a hazard for other road users."
141,71,1,4. Other cars collided with person/car/object but ego-car is ok,0,car hits barrier,0,0,0,1,Ego-car approaches a black SUV stopped near a barrier on a city street.,A black SUV collides with a barrier while attempting to pass through.
142,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a dark road at night with distant vehicles visible.,unknown hazard: no visible anomalies or incidents in the sequence
143,91,0,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a city road at night with parked cars on the right and a car ahead.,"A vehicle on the right loses control and creates dust, causing a hazard."
144,81,0,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a rural road with a white car ahead and a truck on the right.,"A truck on the right releases a large cloud of dust, causing visibility loss."
145,31,0,0. No Crash,0,unknown,0,0,0,0,Ego-car follows a white car on a city road with light traffic.,"A white car moves left into the ego-car's lane, causing a near-miss."
146,261,0,0. No Crash,0,animal on the road,0,2,0,0,Ego-car drives on a snowy road with multiple cars ahead.,"A dog crosses the road, posing a hazard to traffic."
147,51,0,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a highway with several vehicles ahead and to the left.,Unknown hazard: Debris appears in the middle of the highway lane.
148,169,0,0. No Crash,0,pedestrian is crossing the street,0,0,1,0,Ego-car drives on a city road with cars ahead and an overpass in the distance.,Pedestrians cross the crosswalk as the ego-car approaches the intersection.
149,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a road with buildings and trees on both sides.,unknown hazard: no visible anomalies
150,61,0,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a city road with parked cars on the left and moving traffic ahead.,"A vehicle ahead has a fire, creating a hazard."
151,1,-1,0. No Crash,0,unknown,0,0,0,0,"Ego-car drives on a road with a red truck and silver car nearby, industrial structures in the background.",unknown hazard: no visible anomaly or incident in the frames
152,81,0,0. No Crash,0,unknown,0,0,0,0,Ego-car approaches an intersection with a car ahead on the road.,"An oncoming car approaches as the ego-car turns, creating a collision hazard."
153,101,0,0. No Crash,0,unknown,0,0,0,0,Ego-car follows a car on a snowy road with a pedestrian in the left lane.,"A tire (debris) appears in the road, creating a hazard for traffic."
154,51,0,0. No Crash,0,pedestrian is crossing the street,0,0,1,0,Ego-car drives on a city road with cars and a pedestrian on the sidewalk.,A pedestrian crosses the road in front of oncoming traffic.
155,41,0,0. No Crash,0,animal on the road,0,6,0,0,Ego-car drives on a clear road with no visible hazards.,"Birds cross the road, creating a hazard."
156,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a road with a car ahead in the same lane.,No incident occurred in the sequence.
157,51,0,0. No Crash,0,pedestrian is crossing the street,0,0,1,0,Ego-car approaches an intersection with parked cars and a pedestrian on the left sidewalk.,A pedestrian crosses the road in front of the ego-car.
158,273,0,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a highway with a white van ahead and green barriers on the left.,"A red truck on the left side of the highway moves and kicks up dust, creating a hazard."
159,111,0,0. No Crash,0,animal on the road,0,1,0,0,Ego-car drives on a wet rural road with trees and buildings on both sides.,"A cow crosses the road, creating a hazard for the ego-car."
160,31,0,0. No Crash,0,vehicle overtakes,0,0,0,1,"Ego-car drives on a road with multiple cars ahead, including a red car and a black car in the adjacent lane.","A black car cuts into the ego-car's lane, causing a near-miss."
161,199,0,0. No Crash,0,bicycle on road,1,0,0,0,Ego-car drives on a two-lane road with vehicles ahead and trees on both sides.,"A pedestrian on a bicycle enters the road from the right, creating a hazard."
162,1,-1,0. No Crash,0,unknown,0,0,0,0,"Ego-car approaches an intersection with a crosswalk at night, surrounded by parked cars and buildings.",No incident occurred; the scene remains stable with no visible hazards or collisions.
