video,Incident window start frame,Incident Detection,Crash Severity,Ego-car involved,Label,Number of Bicyclists/Scooters,Number of animals involved,Number of pedestrians involved,Number of vehicles involved (excluding ego-car),Caption Before Incident,Reason of Incident
60,61,0,0. No Crash,0,pedestrian is crossing the street,0,0,1,0,Ego-car follows a truck and a car on a multi-lane urban road.,A pedestrian crosses the road ahead and steps directly into the ego-car's lane.
61,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a highway at night with multiple lanes.,No anomaly or incident observed in the sequence of frames.
62,41,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car drives on a city road with parked vehicles and oncoming traffic.,A van cuts in from the right lane and collides with a white car.
63,313,0,0. No Crash,0,animal on the road,0,1,0,1,Ego-car approaches a crosswalk with a white car and a pedestrian on the left.,A cow runs from the left sidewalk into the path of the white car.
64,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a city road with parked cars and oncoming traffic.,No incident observed in the provided frames.
65,197,0,0. No Crash,0,scooter on the road,1,0,0,1,Ego-car follows traffic on a city road with multiple lanes.,A scooter enters the intersection and cuts in front of oncoming traffic.
66,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a city road with heavy traffic and green lights.,No anomaly or incident visible in the provided frames.
67,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a residential road with parked vehicles and clear weather.,No incident or anomaly observed in the provided frames.
68,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives through a city intersection with green traffic lights and pedestrians on the sidewalk.,No incident observed in the provided frames; normal driving through an intersection.
69,101,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car drives through an intersection with green traffic lights and moderate traffic.,A silver sedan cuts in from the left lane into ego-car's path.
70,251,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,0,0,0,2,Ego-car follows a white sedan under an overpass with pedestrians on the right.,"White sedan cuts left abruptly, colliding with ego-car's side."
71,121,0,0. No Crash,0,pedestrian is crossing the street,0,0,1,0,Ego-car approaches a construction zone with traffic cones and barriers on the left.,A pedestrian pushes a pram straight into the road without looking.
72,161,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,0,0,0,2,Ego-car follows a white car at a green-lit intersection with red lights on the left.,A white car turns left across lanes without yielding and collides with oncoming traffic.
73,111,0,0. No Crash,0,animal on the road,0,2,0,0,Ego-car drives on a highway with a blue overhead sign visible ahead.,Wild boars cross the highway lanes directly in front of the ego-car.
74,41,1,1. Ego-car collided but did not stop,1,ego-car hit an animal,0,1,0,0,Ego-car drives on a rural road with houses and parked vehicles on the left.,A large bird flies across the road and collides with the ego-car.
75,71,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,0,0,0,2,Ego-car drives on a highway with a red car in the right lane ahead.,"A red car in the right lane loses a tire, causing debris to scatter across the highway."
76,151,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,0,0,0,2,Ego-car follows a car and a truck on a wet multi-lane road.,The left car loses control on wet road and collides with a truck.
77,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a city road with streetlights and distant traffic lights.,No incident observed; stable driving scene throughout all frames.
78,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a highway with clear blue sky and green trees.,No anomaly or incident observed in the provided frames.
79,231,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,0,0,0,1,Ego-car follows a white SUV in the same lane on a highway.,"White SUV swerves left, crosses lane lines, and collides with barrier."
80,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a multi-lane road with a van and a truck ahead.,No incident observed in the provided frames.
81,1,0,0. No Crash,0,animal on the road,0,1,0,0,Ego-car approaches intersection with van turning left across crosswalk.,Animal on the road at crosswalk causes hazard with no collision.
82,45,0,0. No Crash,0,animal on the road,0,1,0,0,Ego-car follows multiple vehicles on a multi-lane highway under clear skies.,A bird flies across the highway and collides with the ego-car's windshield.
83,293,1,1. Ego-car collided but did not stop,1,ego-car loses control,0,0,0,1,Ego-car follows a van at an intersection with green traffic lights.,"Ego-car veers upward, causing loss of road view; unknown hazard: camera tilt."
84,1,0,0. No Crash,0,scooter on the road,1,0,0,1,Ego-car approaches a white car parked ahead in a narrow alley.,A white car is parked in the middle of a narrow alley blocking the lane.
85,211,0,0. No Crash,0,ego-car hits a vehicle,0,0,0,1,Ego-car drives on a city road with parked cars and oncoming traffic.,A red vehicle cuts in from the left lane into ego-car's path.
86,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car follows a car on a dark road with streetlights and oncoming traffic.,No incident observed; normal driving with no visible hazards or anomalies.
87,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car stops at red traffic light at an intersection.,No incident observed in the provided frames.
88,201,0,0. No Crash,0,vehicle drives into another vehicle,0,0,0,1,Ego-car follows a tractor carrying a hay bale on a rural road.,Hay bale shifts and falls from tractor onto road surface.
89,101,0,0. No Crash,0,flying object hit the car,0,0,0,0,Ego-car drives on a multi-lane highway with trucks ahead in the same lane.,"A truck in front suddenly swerves right, causing debris to scatter on the road."
90,231,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car drives on a city road with a UPS truck parked on the right.,A van crosses the double yellow line and turns left into oncoming traffic.
91,61,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,1,0,0,2,Ego-car approaches intersection with motorcycle ahead and oncoming car turning left.,A car turns left across the path and collides with a motorcycle.
92,151,0,0. No Crash,0,scooter on the road,1,0,0,2,Ego-car follows a bus and a car on a city road with shops ahead.,"A scooter falls on the road ahead, creating a hazard for following vehicles."
93,201,1,1. Ego-car collided but did not stop,1,ego-car hits a vehicle,0,0,0,1,Ego-car drives on a two-lane road with a truck ahead on the right.,Truck veers left and collides with ego-car causing a crash.
94,51,0,0. No Crash,0,pedestrian is crossing the street,0,0,1,0,Ego-car drives on a wet city road with multiple buses and cars ahead.,A pedestrian crosses the road from the right and steps into the ego-car's lane.
95,61,0,0. No Crash,0,animal on the road,0,1,0,0,Ego-car approaches a crosswalk with clear road ahead and no visible hazards.,"A bird crosses the road on the crosswalk, causing potential hazard."
96,267,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car drives on highway with moderate traffic and visible road signs.,"A car cuts in sharply from the left lane, causing sudden braking."
97,101,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car follows a van and a car on a bridge with clear traffic.,No anomaly or incident visible in the provided frames.
98,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car approaches a narrow bridge with an oncoming motorcycle.,No incident observed; motorcycle safely passes on the bridge.
99,111,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,0,0,0,2,Ego-car approaches intersection with multiple vehicles and a cyclist ahead.,"A white sedan cuts in from right, forcing the ego-car to swerve."
100,31,0,0. No Crash,0,animal on the road,0,1,0,0,Ego-car approaches a crosswalk with a white car ahead and a dog on the sidewalk.,"A dog runs onto the crosswalk from the sidewalk, causing a potential hazard."
101,235,0,0. No Crash,0,vehicle drives into another vehicle,0,0,0,2,Ego-car follows a truck on a multi-lane road with other vehicles ahead.,"A truck cuts into the ego-car's lane from the left, causing a near-miss."
102,31,0,0. No Crash,0,animal on the road,0,1,0,0,Ego-car drives on a dark highway with clear lanes and no visible obstacles.,A deer crosses the highway from the left side into the ego-car's path.
103,1,0,0. No Crash,1,pedestrian is crossing the street,0,0,1,0,Ego-car drives through an intersection with a pedestrian waiting to cross.,Ego-car runs a red light while a pedestrian waits to cross.
104,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car follows a black vehicle under an overpass at an intersection.,No incident observed in the provided frames.
105,51,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car follows a red truck while a black sedan approaches from the right lane.,The black sedan moves too close to the red truck and collides with it.
106,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a highway with multiple lanes and steady traffic flow.,No incident observed; traffic moves normally without anomalies.
107,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car follows a white sedan on a multi-lane highway at night with other vehicles nearby.,No incident observed; traffic flows normally with no visible hazards or collisions.
108,171,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car stops at intersection with red light; multiple vehicles wait or turn.,A white truck collides with a blue truck turning left at the intersection.
109,101,1,4. Other cars collided with person/car/object but ego-car is ok,0,many cars/pedestrians/cyclists collided,1,0,1,1,Pedestrians cross at a crosswalk with bicycles and vehicles at an intersection.,A motorcycle enters the crosswalk and knocks down a pedestrian.
110,271,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car drives on highway beside a large green truck with normal traffic ahead.,The green truck moves left toward the ego-car's lane causing a near-miss.
111,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a city road with moderate traffic and pedestrians.,No incident observed; road conditions remain normal throughout frames.
112,101,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car drives on a city road with multiple vehicles ahead in heavy traffic.,A van merges from the right and cuts in front of the ego-car.
113,81,0,0. No Crash,0,vehicle drives into another vehicle,0,0,0,2,Ego-car follows a white station wagon with an orange container on a multi-lane road.,The orange container detaches from the station wagon and rolls into the lane.
114,51,0,0. No Crash,0,animal on the road,0,1,0,0,"Ego-car approaches intersection with green traffic light, pedestrians on sidewalk.","A dog runs into the road from the left sidewalk, causing near-miss."
115,111,1,1. Ego-car collided but did not stop,1,flying object hit the car,0,0,0,0,Ego-car approaches an overpass with traffic cones and vehicles ahead.,Debris blows onto the road and strikes the ego-car's windshield.
116,91,1,4. Other cars collided with person/car/object but ego-car is ok,0,many cars/pedestrians/cyclists collided,3,0,0,2,Ego-car approaches intersection with motorcycles and bicycles waiting at green light.,A bicycle collides with another bicycle at the intersection during green light.
117,31,0,0. No Crash,0,flying object hit the car,0,0,0,0,Ego-car drives on a multi-lane road with a red truck ahead.,Debris on the road causes a hazard for the ego-car.
118,1,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car follows two trucks on a multi-lane road with a white car ahead.,"The white car suddenly swerves right and exits the lane, causing instability."
119,101,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car follows traffic on a multi-lane road with green traffic light.,A van cuts in from left lane causing adjacent vehicle to brake.
120,171,1,1. Ego-car collided but did not stop,1,ego-car hits a vehicle,0,0,0,1,Ego-car drives on a highway with vehicles ahead and trucks on the left.,A silver car cuts in from the left lane and collides with the ego-car.
121,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives through a narrow curved road with no visible traffic.,No incident observed; road remains clear throughout all frames.
122,261,1,6. One or Multiple vehicles collided but ego-car is fine,0,car flipped over,0,0,0,1,Ego-car approaches a red truck driving ahead on the road.,The red truck loses balance and tips over onto the road.
123,51,0,0. No Crash,0,vehicle overtakes,0,0,0,2,Ego-car follows a black sedan at an intersection with green traffic lights.,A black SUV merges right into ego-lane from the right side.
124,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a city road with parked cars and moving traffic ahead.,No anomaly or incident observed in the provided frames.
125,1,-1,0. No Crash,0,unknown,0,0,0,0,Trucks and a motorcycle are stationary in an industrial yard.,No incident observed; scene remains stable across frames.
126,151,1,6. One or Multiple vehicles collided but ego-car is fine,0,vehicle drives into another vehicle,0,0,0,2,Ego-car approaches intersection with white van turning left across lanes.,A red truck cuts in from right and collides with another vehicle.
127,51,0,0. No Crash,0,ego-car loses control,0,0,0,1,Ego-car drives on a snowy rural road with a truck on the left.,Ego-car veers off the road into snow on the right side.
128,11,0,0. No Crash,0,vehicle overtakes,1,0,0,2,Ego-car approaches intersection with crosswalk and oncoming vehicles.,A van cuts in from the left lane into the ego-car's path.
129,91,0,0. No Crash,0,scooter on the road,1,0,0,0,Ego-car drives on a city road with moderate traffic and clear weather.,A child on a scooter enters the road from the right sidewalk into traffic.
130,181,1,3. Ego-car collided with at-least one person or cyclist,1,ego-car hits a crossing cyclist,1,0,0,0,Motorcycle rider approaches ego-car on a residential street with houses.,"Motorcycle rider loses balance, falls toward ego-car, and collides with its windshield."
131,171,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car approaches intersection with green traffic light and oncoming vehicles.,Traffic light turns yellow then red as oncoming vehicle proceeds.
132,211,1,4. Other cars collided with person/car/object but ego-car is ok,0,many cars/pedestrians/cyclists collided,2,0,0,2,Ego-car approaches a cyclist and a motorcyclist on a city road.,The cyclist crosses the road and collides with the motorcyclist.
133,21,0,0. No Crash,0,pedestrian is crossing the street,0,0,1,0,Ego-car approaches two oncoming cars and a pedestrian on the road.,A pedestrian walks on the road ahead as oncoming cars pass.
134,31,0,0. No Crash,0,pedestrian is crossing the street,0,0,1,1,Ego-car approaches a pedestrian in a red jacket on the right lane.,"A pedestrian in red steps into the road, causing a near-miss with ego-car."
135,71,0,0. No Crash,0,unknown,0,0,0,0,Ego-car travels at 34 KM/H on a rural road with a motorcycle ahead.,Ego-car slows from 34 to 4 KM/H without visible hazard or traffic.
136,181,0,0. No Crash,0,animal on the road,0,0,0,0,Ego-car travels on a multi-lane road with oncoming traffic and roadside trees.,Debris on the road creates a visible hazard ahead of the ego-car.
137,101,0,0. No Crash,0,pedestrian on the road,0,0,1,0,Ego-car approaches a tunnel with multiple lanes and moderate traffic.,"A pedestrian sits on a cart in the middle lane, causing traffic disruption."
138,131,0,0. No Crash,0,unknown,0,0,0,1,A black SUV approaches the intersection under green traffic lights.,"A large tree branch falls across the road, blocking the intersection."
139,221,1,4. Other cars collided with person/car/object but ego-car is ok,0,car hits barrier,0,0,0,1,Ego-car follows a white sedan on a multi-lane highway with light traffic.,"The white sedan drifts right and collides with the guardrail, causing front-end damage."
140,51,0,0. No Crash,0,bicycle on road,1,0,0,0,Ego-car approaches a group of cyclists riding ahead on a two-lane road.,"A cyclist performs a wheelie and loses control, causing a hazard on the road."
141,71,0,0. No Crash,0,pedestrian is crossing the street,0,0,0,0,Ego-car approaches an intersection with a black SUV ahead near a barrier.,A pedestrian walks across the sidewalk while the black SUV moves forward.
142,21,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car drives on a dark road with a car ahead on the right.,A car ahead turns left across the lane and merges into oncoming traffic.
143,131,0,0. No Crash,0,vehicle overtakes,0,0,0,1,Ego-car follows traffic on a city road with parked cars and a bus ahead.,A vehicle cuts in from the right lane causing a near-miss with the ego-car.
144,71,0,0. No Crash,0,unknown,0,0,0,0,Ego-car follows a white car ahead on a two-lane road with a parked truck on the right.,"A sudden dust cloud from the right obscures the road, causing temporary zero visibility."
145,101,0,0. No Crash,0,scooter on the road,1,0,0,2,Ego-car follows a silver sedan on a clear urban road with moderate traffic ahead.,"A motorcycle cuts in front of the leading sedan, causing abrupt braking."
146,261,0,0. No Crash,0,animal on the road,0,2,0,0,Ego-car approaches an intersection with oncoming traffic and snow on roadside.,A dog crosses the road from left to right in front of oncoming cars.
147,41,0,0. No Crash,0,animal on the road,0,0,0,0,Ego-car drives on a highway with multiple vehicles ahead in lanes.,Debris falls from a truck ahead and scatters across the highway lanes.
148,175,1,4. Other cars collided with person/car/object but ego-car is ok,0,many cars/pedestrians/cyclists collided,1,0,1,2,Ego-car approaches intersection with green traffic lights and crosswalk ahead.,A pedestrian crosses the road at crosswalk and collides with a car.
149,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a clear city road with light traffic ahead.,No incident observed; road remains clear and traffic normal.
150,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car drives on a city road with heavy traffic and green traffic lights.,No incident observed; traffic flows normally through the intersection.
151,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car approaches intersection with a red truck stopped at traffic light.,No incident observed; traffic appears stable at intersection.
152,81,1,1. Ego-car collided but did not stop,1,ego-car loses control,0,0,0,1,Ego-car follows a vehicle on a rural road with clear visibility.,Ego-car veers off the road to the right and collides with vegetation.
153,91,0,0. No Crash,0,vehicle drives into another vehicle,0,0,1,2,Ego-car drives on a snowy city road with moderate traffic and pedestrians.,A detached tire rolls into the ego-car's lane from oncoming traffic.
154,51,0,0. No Crash,0,pedestrian is crossing the street,0,0,1,0,Ego-car approaches a pedestrian crossing with a person waiting at the curb.,A pedestrian crosses the road ahead while the ego-car approaches the intersection.
155,1,0,0. No Crash,0,animal on the road,0,3,0,0,Ego-car drives on a clear road with a small structure ahead.,A group of ducks crosses the road ahead of the ego-car.
156,1,-1,0. No Crash,0,unknown,0,0,0,0,Ego-car follows a silver sedan on a multi-lane road at dusk.,No anomaly or incident visible in the provided frames.
157,41,0,0. No Crash,0,pedestrian is crossing the street,0,0,1,0,Ego-car approaches an intersection with a pedestrian near the crosswalk on the left.,A pedestrian crosses the road from left to right in front of the ego-car.
158,285,1,4. Other cars collided with person/car/object but ego-car is ok,0,vehicle drives into another vehicle,0,0,0,2,Ego-car drives on a highway with a white car ahead and a red truck approaching in the left lane.,"The red truck veers left and collides with the green barrier, kicking up debris."
